,BARK,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,2519.53,Valuation,
Price/Sales (TTM),0.51,7.6,Valuation,0.06710526315789474
Price/Book (MRQ),1.4,10.0,Valuation,0.13999999999999999
"PEG Ratio (TTM, GAAP)",,40.12,Valuation,
Gross Profit Margin (TTM),0.5483,0.4335,Profitability,1.2648212226066897
Operating Profit Margin (TTM),-0.16640000000000002,0.0117,Profitability,-14.222222222222223
Net Profit Margin (TTM),-0.13949999999999999,-0.0141,Profitability,9.893617021276595
Annual Dividend Yield,,0.0004,Dividend,
Dividend Change %,,0.0027,Dividend,
"Dividend Growth Rate, 3 Years",,0.0,Dividend,
EPS Growth (MRQ),0.31329999999999997,-0.26239999999999997,Gowth rates,-1.1939786585365855
EPS Growth (TTM),-0.1956,-0.6279,Gowth rates,0.3115145723841376
Revenue Growth (MRQ),0.0966,0.1585,Gowth rates,0.6094637223974764
Revenue Growth (TTM),0.19649999999999998,0.12369999999999999,Gowth rates,1.5885206143896524
Return On Equity (TTM),-0.3348,0.0635,Effectiveness,-5.27244094488189
Return On Assets (TTM),-0.17,-0.1317,Effectiveness,1.2908124525436597
Return On Investment (TTM),-0.2273,0.0197,Effectiveness,-11.538071065989849
Revenue Per Employee (TTM),846970.0,354479.0,Effectiveness,2.3893375912254324
Total Debt/Total Capital (MRQ),0.2766,0.39840000000000003,Financial strength,0.6942771084337349
Change in Debt/Total Capital Quarter over Quarter,0.0008,0.4575,Financial strength,0.0017486338797814208
Quick Ratio (MRQ),1.76,0.68,Financial strength,2.5882352941176467
Interest Coverage (MRQ),-6.87,-0.6,Financial strength,11.450000000000001
