,2020,2021,2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Report
high,19.54,17.25,4.78,,,,,
low,11.5,3.9,1.25,,,,,
change,0.12,-0.7212999999999999,-0.63,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,228692.0,199397.0,177242.0,166310.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,10052.0,,,Balance Sheet
Prov. for Doubtful Accts,,,,,-300.0,,,Balance Sheet
"Total Receivables, Net",,,,20251.0,9752.0,8127.0,17346.0,Balance Sheet
Total Inventory,,,,150690.0,153115.0,158016.0,160634.0,Balance Sheet
Prepaid Expenses,,,,5035.0,5878.0,13528.0,12314.0,Balance Sheet
Total Current Assets,,,,404668.0,368142.0,356913.0,356604.0,Balance Sheet
Buildings,,,,,12039.0,,,Balance Sheet
Machinery/Equipment,,,,,18131.0,,,Balance Sheet
Construction in Progress,,,,,3596.0,,,Balance Sheet
Other Prop./Plant/Equip.,,,,,30747.0,,,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,64513.0,,,Balance Sheet
Accumulated Depreciation,,,,,-6833.0,,,Balance Sheet
Prop./Plant/Equip. - Net,,,,26253.0,57680.0,74571.0,80339.0,Balance Sheet
Intangibles - Gross,,,,,6268.0,,,Balance Sheet
Accum. Intangible Amort.,,,,,-2431.0,,,Balance Sheet
Intangibles - Net,,,,3480.0,3837.0,3698.0,3489.0,Balance Sheet
Other Long Term Assets,,,,4400.0,4402.0,4414.0,4422.0,Balance Sheet
Total Assets,,,,438801.0,434061.0,439596.0,444854.0,Balance Sheet
Accounts Payable,,,,21383.0,36834.0,34332.0,45275.0,Balance Sheet
Accrued Expenses,,,,52649.0,40228.0,31454.0,37168.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,,36210.0,31549.0,34481.0,28882.0,Balance Sheet
Total Current Liabilities,,,,110242.0,108611.0,100267.0,111325.0,Balance Sheet
Total Long Term Debt,,,,76032.0,76190.0,76347.0,76517.0,Balance Sheet
Total Debt,,,,76032.0,76190.0,76347.0,76517.0,Balance Sheet
"Other Liabilities, Total",,,,5829.0,32199.0,56827.0,56905.0,Balance Sheet
Total Liabilities,,,,192103.0,217000.0,233441.0,244747.0,Balance Sheet
Common Stock,,,,1.0,1.0,1.0,1.0,Balance Sheet
Additional Paid-In Capital,,,,458239.0,465313.0,469810.0,474404.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,-211542.0,-248253.0,-263656.0,-274298.0,Balance Sheet
Treasury Stock - Common,,,,0.0,,,,Balance Sheet
Total Equity,,,,246698.0,217061.0,206155.0,200107.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,438801.0,434061.0,439596.0,444854.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,173496.0,175290.0,176099.0,177102.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,140812.0,128826.0,131150.0,143814.0,Income Statement
"Cost of Revenue, Total",,,,62403.0,64807.0,55336.0,63473.0,Income Statement
Selling/Gen/Admin Expense,,,,76436.0,73037.0,75551.0,70611.0,Income Statement
Labor & Related Expense,,,,4209.0,6824.0,4343.0,3852.0,Income Statement
Advertising Expense,,,,24819.0,19004.0,16058.0,15024.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,105464.0,98865.0,95952.0,89487.0,Income Statement
Litigation,,,,,0.0,,,Income Statement
Other Unusual Expnse (In),,,,-574.0,0.0,0.0,0.0,Income Statement
Unusual Expense (Income),,,,-574.0,0.0,0.0,0.0,Income Statement
Total Operating Expense,,,,167293.0,163672.0,151288.0,152960.0,Income Statement
Total Operating Income,,,,-26481.0,-34846.0,-20138.0,-9146.0,Income Statement
"Inter Expse,Net Non-Operat",,,,-1284.0,-1323.0,-1389.0,-1340.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,0.0,,,Income Statement
OtherNon-OperatInc (Expnse),,,,14524.0,-541.0,6119.0,-153.0,Income Statement
"Other, Net",,,,14524.0,-541.0,6119.0,-153.0,Income Statement
Income Before Tax,,,,-13241.0,-36710.0,-15408.0,-10639.0,Income Statement
Income Tax - Total,,,,,,,0.0,Income Statement
Income After Tax,,,,-13241.0,-36710.0,-15408.0,-10639.0,Income Statement
Net Inc Before Extra Items,,,,-13241.0,-36710.0,-15408.0,-10639.0,Income Statement
Total Net Income,,,,-13241.0,-36710.0,-15408.0,-10639.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,-13241.0,-36710.0,-15408.0,-10639.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,-13241.0,-36710.0,-15408.0,-10639.0,Income Statement
Basic/Primary Weighted Average Shares,,,,172554.0,173865.0,175492.0,176464.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,-0.08,-0.21,-0.09,-0.06,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,-0.08,-0.21,-0.09,-0.06,Income Statement
Diluted Weighted Average Shares,,,,172554.0,173865.0,175492.0,176464.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,-0.08,-0.21,-0.09,-0.06,Income Statement
Diluted EPS Incl. Extra. Items,,,,-0.08,-0.21,-0.09,-0.06,Income Statement
Div/Share-ComStockPrimIssue,,,,,,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,1284.0,1323.0,1389.0,1340.0,Income Statement
"Depreciat/Amort, Suppl",,,,1123.0,1479.0,3262.0,755.0,Income Statement
Total Special Items,,,,1405.0,2049.0,106.0,-56.0,Income Statement
Normalzd Income Before Tax,,,,-11836.0,-34661.0,-15302.0,-10695.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,0.0,0.0,0.0,0.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,0.0,0.0,0.0,0.0,Income Statement
Normalized Income After Tax,,,,-11836.0,-34661.0,-15302.0,-10695.0,Income Statement
Normalzd Inc Avail to Common,,,,-11836.0,-34661.0,-15302.0,-10695.0,Income Statement
Basic Normalized EPS,,,,-0.07,-0.2,-0.09,-0.06,Income Statement
Diluted Normalized EPS,,,,-0.07,-0.2,-0.09,-0.06,Income Statement
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,-31589.0,-68299.0,-15408.0,-26047.0,Cash Flow
Depreciation/Depletion,,,,2924.0,4403.0,3262.0,4017.0,Cash Flow
Unusual Items,,,,-36534.0,-31071.0,-5997.0,-4979.0,Cash Flow
Other Non-Cash Items,,,,15878.0,23168.0,4746.0,13283.0,Cash Flow
Non-Cash Items,,,,-20656.0,-7903.0,-1251.0,8304.0,Cash Flow
"Cash Interest Pd, Suppl",,,,776.0,852.0,73.0,154.0,Cash Flow
Accounts Receivable,,,,-11306.0,-1115.0,1383.0,-8148.0,Cash Flow
Inventories,,,,-73236.0,-75661.0,-4901.0,-7615.0,Cash Flow
Prepaid Expenses,,,,-425.0,-1055.0,-69.0,-484.0,Cash Flow
Other Assets,,,,-314.0,3522.0,-11.0,-16.0,Cash Flow
Accrued Expenses,,,,,-4541.0,-746.0,-1510.0,Cash Flow
Payable/Accrued,,,,-12290.0,-13503.0,-2497.0,14368.0,Cash Flow
Changes in Working Capital,,,,-97216.0,-100539.0,-4028.0,-5837.0,Cash Flow
Total Cash from Operations,,,,-146537.0,-172338.0,-17425.0,-19563.0,Cash Flow
Total Cash from Investing,,,,-17605.0,-21172.0,-4735.0,-14108.0,Cash Flow
Financing Cash Flow Items,,,,192316.0,192082.0,0.0,0.0,Cash Flow
Sale/Issuance of Common,,,,200000.0,200000.0,0.0,0.0,Cash Flow
Repurch/Retirement Common,,,,0.0,0.0,,,Cash Flow
"Common Stock, Net",,,,200000.0,200000.0,0.0,0.0,Cash Flow
Options Exercised,,,,2829.0,3300.0,154.0,896.0,Cash Flow
Warrants Converted,,,,121.0,121.0,0.0,0.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,202950.0,203421.0,154.0,896.0,Cash Flow
Long Term Debt Issued,,,,0.0,0.0,,,Cash Flow
Long Term Debt Reduction,,,,-39884.0,-40045.0,-153.0,-310.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,-39884.0,-40045.0,-153.0,-310.0,Cash Flow
Total Cash From Financing,,,,355382.0,355458.0,1.0,586.0,Cash Flow
Foreign Exchange Effects,,,,1.0,,5.0,2.0,Cash Flow
Net Change in Cash,,,,191241.0,161948.0,-22154.0,-33083.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,39731.0,39731.0,201679.0,201679.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,230972.0,201679.0,179525.0,168596.0,Cash Flow
"Depreciation, Supplemental",,,,2924.0,4403.0,3262.0,4017.0,Cash Flow
Free Cash Flow,,,,,,,,
FCF Growth,,,,,,,,
