,NBR
% Below High,0.25670000000000004
% Held by Institutions,0.74
52-Wk Range,['72.46 - 207.67']
Annual Dividend $,
Annual Dividend %,
Ask,150.36
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,2.9
Bid,125.0
Bid Size,100.0
Change Since Close,-2.70| |(-1.75%)
Closing Price,154.37
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-48.32
Ex-dividend Date,No dividend
Historical Volatility,0.818
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,151.67
Market Cap,1.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,154.37
Short Interest,0.0444
Today's Open,
Volume,8.0
Volume 10-day Avg,97916.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.5481745090286015
Growth 1yr High Est,-0.5750670241286864
Growth 1yr Consensus Est,-0.5616207665786439
Growth 2yr Low Est,-0.9165901716671596
Growth 2yr High Est,-1.2204988117488857
Growth 2yr Consensus Est,-1.0685444917080227
Growth 5yr Low Est,-0.9165901716671596
Growth 5yr High Est,-1.2204988117488857
Growth 5yr Consensus Est,-1.0685444917080225
Growth 5yr Actual/Est,-0.6125473952144206
Growth 3yr Historic,-0.10172117838879338
Price/Earnings (TTM),
Price/Sales (TTM),0.59639
Price/Book (MRQ),3.30958
Price/Cash Flow (TTM),4.91431
5yr Low,9.79
5yr High,443.25
5yr Avg Return,0.10851666666666666
EPS Growth 5yr,
Revenue Growth 5yr,-0.0196345
Dividend Growth 5yr,
Short Int Current Month,396222.0
Short Int Prev Month,447414.0
Short Int Pct of Float,0.0443963
Days to Cover,3.43591
Float,8.93068
Shares Outstanding,9.41573
Institutions Holding Shares,244.0
FCF Growth 5yr,8.583871098664718
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3615
Operating Profit Margin (TTM),-0.052199999999999996
Net Profit Margin (TTM),-0.147
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.8087000000000001
EPS Growth (TTM),0.3883
Revenue Growth (MRQ),0.1002
Revenue Growth (TTM),0.2711
Return On Equity (TTM),-0.7053
Return On Assets (TTM),-0.0721
Return On Investment (TTM),-0.09550000000000002
Revenue Per Employee (TTM),243716.0
Total Debt/Total Capital (MRQ),0.669
Change in Debt/Total Capital Quarter over Quarter,-0.0009
Quick Ratio (MRQ),1.5
Interest Coverage (MRQ),1.41
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-11-25 00:00:00
theStreet since,2022-10-21 00:00:00
cfra since,2022-10-10 00:00:00
ford since,2022-11-25 00:00:00
marketEdge opinion since,
