,NBR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,669.05,Valuation,
Price/Sales (TTM),0.6,2.16,Valuation,0.27777777777777773
Price/Book (MRQ),3.31,3.21,Valuation,1.0311526479750779
"PEG Ratio (TTM, GAAP)",,45.77,Valuation,
Gross Profit Margin (TTM),0.3615,0.1895,Profitability,1.9076517150395778
Operating Profit Margin (TTM),-0.052199999999999996,0.0622,Profitability,-0.8392282958199356
Net Profit Margin (TTM),-0.147,0.011899999999999999,Profitability,-12.352941176470589
Annual Dividend Yield,,0.0131,Dividend,
Dividend Change %,,-0.2443,Dividend,
"Dividend Growth Rate, 3 Years",,-0.21420000000000003,Dividend,
EPS Growth (MRQ),0.8087000000000001,0.659,Gowth rates,1.2271623672230654
EPS Growth (TTM),0.3883,-0.1462,Gowth rates,-2.6559507523939807
Revenue Growth (MRQ),0.1002,0.3728,Gowth rates,0.2687768240343347
Revenue Growth (TTM),0.2711,0.2954,Gowth rates,0.9177386594448206
Return On Equity (TTM),-0.7053,0.0775,Effectiveness,-9.100645161290323
Return On Assets (TTM),-0.0721,0.0348,Effectiveness,-2.07183908045977
Return On Investment (TTM),-0.09550000000000002,0.1063,Effectiveness,-0.898400752587018
Revenue Per Employee (TTM),243716.0,673709.0,Effectiveness,0.36175262613383524
Total Debt/Total Capital (MRQ),0.669,0.3983,Financial strength,1.6796384634697465
Change in Debt/Total Capital Quarter over Quarter,-0.0009,0.0006,Financial strength,-1.5
Quick Ratio (MRQ),1.5,1.2,Financial strength,1.25
Interest Coverage (MRQ),1.41,15.83,Financial strength,0.08907138344914718
