,SXT
% Above Low,0.16640000000000002
% Held by Institutions,0.9305
52-Wk Range,['63.17 - 101.76']
Annual Dividend $,1.64
Annual Dividend %,0.022099999999999998
Ask,73.75
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.9
Bid,73.61
Bid Size,100.0
Day Change $,-0.56
Day Change %,-0.0075
Day High,74.28
Day Low,73.1
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",3.29
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.289
Last (size),12.0
Last (time),3:49p ET 11/28/22
Market Cap,3.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",22.54
Prev Close,74.24
Price,73.68
Short Interest,0.0146
Today's Open,73.67
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-10 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.06472491909385125
Growth 1yr High Est,0.06349206349206349
Growth 1yr Consensus Est,0.06410849129295737
Growth 2yr Low Est,0.04452051425817183
Growth 2yr High Est,0.061596778014688436
Growth 2yr Consensus Est,0.05305864613643013
Growth 5yr Low Est,0.048940689486869915
Growth 5yr High Est,0.03589602840817552
Growth 5yr Consensus Est,0.042418358947522716
Growth 5yr Actual/Est,0.041091291616258185
Growth 3yr Historic,0.016107841712680426
Price/Earnings (TTM),22.53644
Price/Sales (TTM),2.18434
Price/Book (MRQ),3.2696
Price/Cash Flow (TTM),16.29871
5yr Low,38.24
5yr High,106.32
5yr Avg Return,0.01793333333333333
EPS Growth 5yr,0.0049876
Revenue Growth 5yr,-0.0004263
Dividend Growth 5yr,0.0731658
Short Int Current Month,609122.0
Short Int Prev Month,815074.0
Short Int Pct of Float,0.0146383
Days to Cover,3.94386
Float,41.62441
Shares Outstanding,42.03769
Institutions Holding Shares,327.0
FCF Growth 5yr,0.4508859911813418
"Price/Earnings (TTM, GAAP)",22.54
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.34299999999999997
Operating Profit Margin (TTM),0.1371
Net Profit Margin (TTM),0.09730000000000001
Annual Dividend Yield,0.0221
Dividend Change %,0.0128
"Dividend Growth Rate, 3 Years",0.0538
EPS Growth (MRQ),-0.068
EPS Growth (TTM),0.1945
Revenue Growth (MRQ),-0.0286
Revenue Growth (TTM),0.0395
Return On Equity (TTM),0.1468
Return On Assets (TTM),0.0779
Return On Investment (TTM),0.09
Revenue Per Employee (TTM),371683.0
Total Debt/Total Capital (MRQ),0.3735
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001
Quick Ratio (MRQ),1.49
Interest Coverage (MRQ),12.93
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2020-09-15 00:00:00
ford since,2020-08-28 00:00:00
cfra since,
marketEdge opinion since,
