,AIG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",3.62,19.61,Valuation,0.1845996940336563
Price/Sales (TTM),0.77,2.33,Valuation,0.33047210300429186
Price/Book (MRQ),1.18,3.82,Valuation,0.3089005235602094
"PEG Ratio (TTM, GAAP)",0.31,37.63,Valuation,0.008238107892638851
Gross Profit Margin (TTM),,0.0226,Profitability,
Operating Profit Margin (TTM),0.342,0.1298,Profitability,2.63482280431433
Net Profit Margin (TTM),0.25780000000000003,0.10460000000000001,Profitability,2.464627151051625
Annual Dividend Yield,0.021,0.0168,Dividend,1.2500000000000002
Dividend Change %,0.0,-0.0075,Dividend,-0.0
"Dividend Growth Rate, 3 Years",0.0,0.0225,Dividend,0.0
EPS Growth (MRQ),-0.0737,-0.0779,Gowth rates,0.9460847240051349
EPS Growth (TTM),1.6449,-0.005200000000000001,Gowth rates,-316.32692307692304
Revenue Growth (MRQ),0.0111,0.0897,Gowth rates,0.12374581939799331
Revenue Growth (TTM),0.237,0.042800000000000005,Gowth rates,5.537383177570093
Return On Equity (TTM),0.26670000000000005,0.3775,Effectiveness,0.7064900662251656
Return On Assets (TTM),0.027200000000000002,0.031200000000000002,Effectiveness,0.8717948717948718
Return On Investment (TTM),,0.035,Effectiveness,
Revenue Per Employee (TTM),1610328.0,1261907.0,Effectiveness,1.2761067178484626
Total Debt/Total Capital (MRQ),0.5752,0.4026,Financial strength,1.4287133631395927
Change in Debt/Total Capital Quarter over Quarter,0.01,0.002,Financial strength,5.0
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),19.05,10.79,Financial strength,1.7655236329935127
