,AIG
% Below High,0.0707
% Held by Institutions,0.9005
52-Wk Range,['47.05 - 65.73']
Annual Dividend $,1.28
Annual Dividend %,0.021
Ask,65.0
Ask Size,1100.0
B/A Ratio,4.454545454545454
B/A Size,4900x1100
Beta,1.2
Bid,60.98
Bid Size,4900.0
Closing Price,61.08
Day Change $,0.12
Day Change %,0.002
Day High,61.43
Day Low,60.97
Dividend Pay Date,2022-12-29 00:00:00
"EPS (TTM, GAAP)",16.85
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.337
Last (size),9.0
Last (time),5:00p ET 11/25/22
Market Cap,45.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",3.62
Prev Close,60.96
Short Interest,0.0085
Today's Open,61.36
Volume,2160455.0
Volume 10-day Avg,4270528.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,0.7083333333333333
Growth 1yr High Est,1.0530303030303028
Growth 1yr Consensus Est,0.880681818181818
Growth 2yr Low Est,0.5431910569105691
Growth 2yr High Est,0.6713490998546348
Growth 2yr Consensus Est,0.6072700783826019
Growth 5yr Low Est,0.1549288617886179
Growth 5yr High Est,0.21432952068755132
Growth 5yr Consensus Est,0.1846291912380846
Growth 5yr Actual/Est,0.21626047754839112
Growth 3yr Historic,0.14519140989729223
Price/Earnings (TTM),3.62441
Price/Sales (TTM),0.76998
Price/Book (MRQ),1.18428
Price/Cash Flow (TTM),2.25463
5yr Low,16.07
5yr High,65.73
5yr Avg Return,0.05031666666666667
EPS Growth 5yr,
Revenue Growth 5yr,-0.0030342000000000004
Dividend Growth 5yr,0.0
Short Int Current Month,6330607.0
Short Int Prev Month,6366744.0
Short Int Pct of Float,0.0085466
Days to Cover,1.23183
Float,740.8266
Shares Outstanding,742.98
Institutions Holding Shares,1199.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",3.62
"PEG Ratio (TTM, GAAP)",0.31
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.342
Net Profit Margin (TTM),0.25780000000000003
Annual Dividend Yield,0.021
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-0.0737
EPS Growth (TTM),1.6449
Revenue Growth (MRQ),0.0111
Revenue Growth (TTM),0.237
Return On Equity (TTM),0.26670000000000005
Return On Assets (TTM),0.027200000000000002
Return On Investment (TTM),
Revenue Per Employee (TTM),1610328.0
Total Debt/Total Capital (MRQ),0.5752
Change in Debt/Total Capital Quarter over Quarter,0.01
Quick Ratio (MRQ),
Interest Coverage (MRQ),19.05
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-06-24 00:00:00
cfra since,2020-08-05 00:00:00
ford since,2022-10-07 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-10-28 00:00:00
