,MCRB,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),66.61,45.03,Valuation,1.4792360648456584
Price/Book (MRQ),13.16,12.61,Valuation,1.0436161776367963
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-17.0192,-4.7459,Profitability,3.586084831117386
Net Profit Margin (TTM),-17.299400000000002,-4.5467,Profitability,3.8048254778190778
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.30210000000000004,-0.0014000000000000002,Gowth rates,-215.78571428571428
EPS Growth (TTM),-4.9348,0.027200000000000002,Gowth rates,-181.42647058823528
Revenue Growth (MRQ),1.8322,1.3963999999999999,Gowth rates,1.312088226869092
Revenue Growth (TTM),-0.9139,0.9747,Gowth rates,-0.9376218323586745
Return On Equity (TTM),-1.9017,0.1967,Effectiveness,-9.668022369089984
Return On Assets (TTM),-0.6534000000000001,0.0016,Effectiveness,-408.37500000000006
Return On Investment (TTM),-0.8702,0.0219,Effectiveness,-39.7351598173516
Revenue Per Employee (TTM),40162.0,1476201.0,Effectiveness,0.027206322174283853
Total Debt/Total Capital (MRQ),0.4294,0.4675,Financial strength,0.9185026737967914
Change in Debt/Total Capital Quarter over Quarter,0.0154,0.0036,Financial strength,4.277777777777778
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),-68.57,2.69,Financial strength,-25.4907063197026
