,MCRB
% Below High,0.3884
% Held by Institutions,0.845
52-Wk Range,['2.50 - 11.69']
Annual Dividend $,
Annual Dividend %,
Ask,7.2
Ask Size,100.0
Ask close,8.83
B/A Ratio,1.0
B/A Size,100x100
Beta,2.7
Bid,6.95
Bid Size,100.0
Bid close,5.58
Change Since Close,-0.22| |(-3.08%)
Closing Price,7.15
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.35
Ex-dividend Date,No dividend
Historical Volatility,0.902
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,6.93
Market Cap,890.8M
"P/E Ratio (TTM, GAAP)",
Prev Close,7.15
Short Interest,0.0374
Today's Open,
Volume,1.0
Volume 10-day Avg,638316.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.8346456692913387
Growth 1yr High Est,6.366666666666667
Growth 1yr Consensus Est,3.600656167979003
Growth 2yr Low Est,0.4237606028860126
Growth 2yr High Est,2.7036953242835597
Growth 2yr Consensus Est,1.5637279635847863
Growth 5yr Low Est,0.19029756763005667
Growth 5yr High Est,1.1643476621417799
Growth 5yr Consensus Est,0.6773226148859184
Growth 5yr Actual/Est,0.2815433756042326
Growth 3yr Historic,-0.11347926267281105
Price/Earnings (TTM),
Price/Sales (TTM),66.60916
Price/Book (MRQ),13.16177
Price/Cash Flow (TTM),
5yr Low,2.02
5yr High,38.5
5yr Avg Return,0.7417833333333332
EPS Growth 5yr,
Revenue Growth 5yr,0.4610805
Dividend Growth 5yr,
Short Int Current Month,4334863.0
Short Int Prev Month,4767958.0
Short Int Pct of Float,0.0373843
Days to Cover,4.1752
Float,116.2882
Shares Outstanding,124.5917
Institutions Holding Shares,175.0
FCF Growth 5yr,8.121082696770747
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-17.0192
Net Profit Margin (TTM),-17.299400000000002
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.30210000000000004
EPS Growth (TTM),-4.9348
Revenue Growth (MRQ),1.8322
Revenue Growth (TTM),-0.9139
Return On Equity (TTM),-1.9017
Return On Assets (TTM),-0.6534000000000001
Return On Investment (TTM),-0.8702
Revenue Per Employee (TTM),40162.0
Total Debt/Total Capital (MRQ),0.4294
Change in Debt/Total Capital Quarter over Quarter,0.0154
Quick Ratio (MRQ),
Interest Coverage (MRQ),-68.57
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2017-08-08 00:00:00
theStreet since,2017-08-08 00:00:00
ford since,2022-06-24 00:00:00
cfra since,
marketEdge opinion since,
