,AZPN
% Below High,0.0755
% Held by Institutions,0.4767
52-Wk Range,['135.48 - 263.59']
Annual Dividend $,
Annual Dividend %,
Ask,244.38
Ask Size,1700.0
B/A Ratio,0.11764705882352941
B/A Size,200x1700
Beta,1.0
Bid,242.98
Bid Size,200.0
Closing Price,243.68
Day Change $,3.93
Day Change %,0.016399999999999998
Day High,245.53
Day Low,237.72
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.29
Ex-dividend Date,No dividend
Historical Volatility,0.368
Last (size),340.0
Last (time),1:00p ET 11/25/22
Market Cap,15.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",849.27
Prev Close,239.75
Short Interest,0.0323
Today's Open,238.53
Volume,108371.0
Volume 10-day Avg,231093.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.34516765285996054
Growth 1yr High Est,0.278084714548803
Growth 1yr Consensus Est,0.3116261837043818
Growth 2yr Low Est,0.1828477560487486
Growth 2yr High Est,0.26872535439255707
Growth 2yr Consensus Est,0.22578655522065283
Growth 5yr Low Est,0.12189850403249906
Growth 5yr High Est,0.1791502362617047
Growth 5yr Consensus Est,0.15052437014710188
Growth 5yr Actual/Est,0.20360439120956458
Growth 3yr Historic,0.1273469809760132
Price/Earnings (TTM),849.2664
Price/Sales (TTM),30.23893
Price/Book (MRQ),1.19197
Price/Cash Flow (TTM),64.93549
5yr Low,65.03
5yr High,263.59
5yr Avg Return,0.2574666666666667
Short Int Current Month,908585.0
Short Int Prev Month,1031416.0
Short Int Pct of Float,0.0323144
Days to Cover,3.65673
Float,28.07462
Shares Outstanding,64.54004
Institutions Holding Shares,461.0
FCF Growth 5yr,-0.189244545408929
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",849.27
"PEG Ratio (TTM, GAAP)",46.66
Gross Profit Margin (TTM),0.5527000000000001
Operating Profit Margin (TTM),-0.10560000000000001
Net Profit Margin (TTM),0.0048
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.1538
EPS Growth (TTM),-0.9399
Revenue Growth (MRQ),0.049800000000000004
Revenue Growth (TTM),-0.28800000000000003
Return On Equity (TTM),0.0004
Return On Assets (TTM),0.0003
Return On Investment (TTM),0.0003
Revenue Per Employee (TTM),145522.0
Total Debt/Total Capital (MRQ),0.0201
Change in Debt/Total Capital Quarter over Quarter,-0.0092
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-05-18 00:00:00
