,AZPN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",849.27,54.08,Valuation,15.703957100591715
Price/Sales (TTM),30.24,9.39,Valuation,3.2204472843450476
Price/Book (MRQ),1.19,12.63,Valuation,0.09422011084718922
"PEG Ratio (TTM, GAAP)",46.66,1.92,Valuation,24.302083333333332
Gross Profit Margin (TTM),0.5527000000000001,0.7206,Profitability,0.766999722453511
Operating Profit Margin (TTM),-0.10560000000000001,0.2172,Profitability,-0.48618784530386744
Net Profit Margin (TTM),0.0048,0.1553,Profitability,0.0309079201545396
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),-1.1538,-0.0752,Gowth rates,15.343085106382977
EPS Growth (TTM),-0.9399,-0.2824,Gowth rates,3.328257790368272
Revenue Growth (MRQ),0.049800000000000004,0.15560000000000002,Gowth rates,0.32005141388174807
Revenue Growth (TTM),-0.28800000000000003,0.1906,Gowth rates,-1.511017838405037
Return On Equity (TTM),0.0004,0.2189,Effectiveness,0.001827318410232983
Return On Assets (TTM),0.0003,0.10740000000000001,Effectiveness,0.0027932960893854745
Return On Investment (TTM),0.0003,0.1387,Effectiveness,0.0021629416005767843
Revenue Per Employee (TTM),145522.0,667721.0,Effectiveness,0.21793833053026637
Total Debt/Total Capital (MRQ),0.0201,0.39659999999999995,Financial strength,0.05068078668683813
Change in Debt/Total Capital Quarter over Quarter,-0.0092,0.0004,Financial strength,-23.0
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),,0.28,Financial strength,
