,MS
% Below High,0.17149999999999999
% Held by Institutions,0.6119
52-Wk Range,['72.05 - 109.73']
Annual Dividend $,3.1
Annual Dividend %,0.0341
Ask,90.3
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,89.96
Bid Size,100.0
Change Since Close,-0.58| |(-0.64%)
Closing Price,90.91
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-15 00:00:00
"EPS (TTM, GAAP)",6.89
Ex-dividend,2022-10-28 00:00:00
Ex-dividend Date,10/28/22
Historical Volatility,0.326
Last (size),10.0
Last (time),5:00p ET 11/25/22
Last Trade,90.33
Market Cap,153.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.2
Prev Close,90.91
Short Interest,0.013500000000000002
Today's Open,
Volume,266.0
Volume 10-day Avg,5637508.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-17 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,-0.1816901408450704
Growth 1yr High Est,-0.17487684729064035
Growth 1yr Consensus Est,-0.17828349406785537
Growth 2yr Low Est,-0.01683474340016
Growth 2yr High Est,0.017039188294978302
Growth 2yr Consensus Est,0.00010222244740915043
Growth 5yr Low Est,-0.01683474340016
Growth 5yr High Est,0.017039188294978302
Growth 5yr Consensus Est,0.00010222244740915043
Growth 5yr Actual/Est,0.11308657668451932
Growth 3yr Historic,0.12193385111878641
Price/Earnings (TTM),13.19634
Price/Sales (TTM),2.51387
Price/Book (MRQ),1.66924
Price/Cash Flow (TTM),9.49205
5yr Low,27.2
5yr High,109.73
5yr Avg Return,0.12713333333333332
EPS Growth 5yr,0.224368
Revenue Growth 5yr,0.1000135
Dividend Growth 5yr,0.2457309
Short Int Current Month,17700023.0
Short Int Prev Month,19705003.0
Short Int Pct of Float,0.0135354
Days to Cover,2.48106
Float,1307.996
Shares Outstanding,1690.109
Institutions Holding Shares,2089.0
FCF Growth 5yr,-11.93373385483117
"Price/Earnings (TTM, GAAP)",13.2
"PEG Ratio (TTM, GAAP)",11.89
Gross Profit Margin (TTM),0.8512000000000001
Operating Profit Margin (TTM),0.2647
Net Profit Margin (TTM),0.2066
Annual Dividend Yield,0.034100000000000005
Dividend Change %,0.5
"Dividend Growth Rate, 3 Years",0.24050000000000002
EPS Growth (MRQ),0.0591
EPS Growth (TTM),-0.12050000000000001
Revenue Growth (MRQ),0.1462
Revenue Growth (TTM),0.014499999999999999
Return On Equity (TTM),0.1262
Return On Assets (TTM),0.010700000000000001
Return On Investment (TTM),0.0239
Revenue Per Employee (TTM),814933.0
Total Debt/Total Capital (MRQ),0.8609
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-05-27 00:00:00
theStreet since,2021-11-09 00:00:00
cfra since,2022-11-14 00:00:00
ford since,2022-05-27 00:00:00
marketEdge opinion since,
