,TGT
% Above Low,0.2057
% Held by Institutions,0.7656999999999999
52-Wk Range,['137.16 - 254.87']
Annual Dividend $,4.32
Annual Dividend %,0.0264
Ask,165.74
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,165.01
Bid Size,100.0
Change Since Close,0.37| |(0.22%)
Closing Price,165.37
Day Change $,1.99
Day Change %,0.012199999999999999
Day High,166.89
Day Low,162.81
Dividend Pay Date,2022-12-10 00:00:00
"EPS (TTM, GAAP)",7.31
Ex-dividend,2022-11-15 00:00:00
Ex-dividend Date,11/15/22
Historical Volatility,0.488
Last (size),1500.0
Last (time),4:10p ET 11/28/22
Last Trade,165.74
Market Cap,76.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",22.37
Prev Close,163.38
Short Interest,0.028999999999999998
Today's Open,162.81
Volume,4611880.0
Volume 10-day Avg,9454621.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,30.0
Growth 1yr Low Est,-0.5813953488372092
Growth 1yr High Est,-0.5655070318282753
Growth 1yr Consensus Est,-0.5734511903327423
Growth 2yr Low Est,-0.08884582256675277
Growth 2yr High Est,0.17550883502283
Growth 2yr Consensus Est,0.04333150622803861
Growth 5yr Low Est,0.1722360023357462
Growth 5yr High Est,0.313423713223479
Growth 5yr Consensus Est,0.2428298577796126
Growth 5yr Actual/Est,0.26723422535763547
Growth 3yr Historic,0.2284172124039353
Price/Earnings (TTM),22.36523
Price/Sales (TTM),0.69173
Price/Book (MRQ),6.82489
Price/Cash Flow (TTM),12.24446
5yr Low,56.82
5yr High,268.98
5yr Avg Return,0.2532
EPS Growth 5yr,0.25232679999999996
Revenue Growth 5yr,0.0857005
Dividend Growth 5yr,0.0637506
Short Int Current Month,13307381.0
Short Int Prev Month,10024953.0
Short Int Pct of Float,0.0289868
Days to Cover,3.11414
Float,459.3785
Shares Outstanding,460.3101
Institutions Holding Shares,2436.0
FCF Growth 5yr,-0.29964109593513516
"Price/Earnings (TTM, GAAP)",22.37
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2546
Operating Profit Margin (TTM),0.044000000000000004
Net Profit Margin (TTM),0.0317
Annual Dividend Yield,0.026400000000000003
Dividend Change %,0.1791
"Dividend Growth Rate, 3 Years",0.0784
EPS Growth (MRQ),2.8999
EPS Growth (TTM),-0.4623
Revenue Growth (MRQ),0.018500000000000003
Revenue Growth (TTM),0.052000000000000005
Return On Equity (TTM),0.2778
Return On Assets (TTM),0.06269999999999999
Return On Investment (TTM),0.10960000000000002
Revenue Per Employee (TTM),241602.0
Total Debt/Total Capital (MRQ),0.5988
Change in Debt/Total Capital Quarter over Quarter,0.0026000000000000003
Quick Ratio (MRQ),0.14
Interest Coverage (MRQ),8.22
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-11-18 00:00:00
theStreet since,2022-06-27 00:00:00
cfra since,2022-05-18 00:00:00
ford since,2022-11-18 00:00:00
marketEdge opinion since,
