,TGT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",22.37,18.18,Valuation,1.2304730473047305
Price/Sales (TTM),0.69,1.07,Valuation,0.6448598130841121
Price/Book (MRQ),6.82,6.63,Valuation,1.0286576168929111
"PEG Ratio (TTM, GAAP)",,0.29,Valuation,
Gross Profit Margin (TTM),0.2546,0.30210000000000004,Profitability,0.8427672955974842
Operating Profit Margin (TTM),0.044000000000000004,0.0694,Profitability,0.6340057636887608
Net Profit Margin (TTM),0.0317,0.0507,Profitability,0.6252465483234714
Annual Dividend Yield,0.026400000000000003,0.016399999999999998,Dividend,1.609756097560976
Dividend Change %,0.1791,0.1234,Dividend,1.4513776337115074
"Dividend Growth Rate, 3 Years",0.0784,0.0604,Dividend,1.2980132450331126
EPS Growth (MRQ),2.8999,-0.21030000000000001,Gowth rates,-13.789348549690917
EPS Growth (TTM),-0.4623,0.6343,Gowth rates,-0.7288349361500868
Revenue Growth (MRQ),0.018500000000000003,0.0556,Gowth rates,0.33273381294964033
Revenue Growth (TTM),0.052000000000000005,0.058600000000000006,Gowth rates,0.8873720136518771
Return On Equity (TTM),0.2778,0.3091,Effectiveness,0.8987382724037528
Return On Assets (TTM),0.06269999999999999,0.0764,Effectiveness,0.8206806282722513
Return On Investment (TTM),0.10960000000000002,0.11320000000000001,Effectiveness,0.9681978798586574
Revenue Per Employee (TTM),241602.0,285695.0,Effectiveness,0.845664082325557
Total Debt/Total Capital (MRQ),0.5988,0.4823,Financial strength,1.2415509019282605
Change in Debt/Total Capital Quarter over Quarter,0.0026000000000000003,0.0017000000000000001,Financial strength,1.5294117647058825
Quick Ratio (MRQ),0.14,0.17,Financial strength,0.823529411764706
Interest Coverage (MRQ),8.22,12.95,Financial strength,0.6347490347490349
