,NSP
% Below High,0.043899999999999995
% Held by Institutions,0.9124
52-Wk Range,['83.94 - 123.71']
Annual Dividend $,2.08
Annual Dividend %,0.0176
Ask,125.26
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.3
Bid,
Bid Size,
Closing Price,118.28
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-20 00:00:00
"EPS (TTM, GAAP)",3.91
Ex-dividend,2022-12-05 00:00:00
Ex-dividend Date,12/05/22
Historical Volatility,0.38200000000000006
Last (size),17.0
Last (time),5:00p ET 11/25/22
Market Cap,4.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",30.28
Prev Close,118.28
Short Interest,0.0316
Today's Open,
Volume,53732.0
Volume 10-day Avg,145609.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.1869369369369367
Growth 1yr High Est,0.1875
Growth 1yr Consensus Est,0.18721846846846835
Growth 2yr Low Est,-0.005203258286749779
Growth 2yr High Est,0.150140977443609
Growth 2yr Consensus Est,0.0724688595784296
Growth 5yr Low Est,0.020125643583897818
Growth 5yr High Est,0.09301307245386198
Growth 5yr Consensus Est,0.0565693580188799
Growth 5yr Actual/Est,0.07872778235232417
Growth 3yr Historic,-0.007658651848774428
Price/Earnings (TTM),30.28387
Price/Sales (TTM),0.78164
Price/Book (MRQ),74.93302
Price/Cash Flow (TTM),23.36463
5yr Low,22.59
5yr High,144.92
5yr Avg Return,0.15136666666666668
EPS Growth 5yr,0.1557126
Revenue Growth 5yr,0.11074830000000001
Dividend Growth 5yr,0.2925854
Short Int Current Month,1131277.0
Short Int Prev Month,1182685.0
Short Int Pct of Float,0.0316477
Days to Cover,5.76855
Float,35.73111
Shares Outstanding,37.93434
Institutions Holding Shares,397.0
FCF Growth 5yr,1.7250734825907683
"Price/Earnings (TTM, GAAP)",30.28
"PEG Ratio (TTM, GAAP)",2.02
Gross Profit Margin (TTM),0.16390000000000002
Operating Profit Margin (TTM),0.0373
Net Profit Margin (TTM),0.0263
Annual Dividend Yield,0.0176
Dividend Change %,0.09380000000000001
"Dividend Growth Rate, 3 Years",0.2981
EPS Growth (MRQ),0.12240000000000001
EPS Growth (TTM),0.2808
Revenue Growth (MRQ),0.0049
Revenue Growth (TTM),0.2115
Return On Equity (TTM),1.9153
Return On Assets (TTM),0.0858
Return On Investment (TTM),0.217
Revenue Per Employee (TTM),1594539.0
Total Debt/Total Capital (MRQ),0.8593000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),
Interest Coverage (MRQ),41.31
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-05 00:00:00
theStreet since,2022-07-21 00:00:00
ford since,2022-08-05 00:00:00
cfra since,
marketEdge opinion since,
