,MD
% Above Low,0.0684
% Held by Institutions,1.0354
52-Wk Range,['14.48 - 28.02']
Annual Dividend $,
Annual Dividend %,
Ask,22.77
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.8
Bid,14.8
Bid Size,100.0
Closing Price,15.47
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.93
Ex-dividend Date,No dividend
Historical Volatility,0.46
Last (size),39.0
Last (time),5:00p ET 11/25/22
Market Cap,1.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",16.55
Prev Close,15.47
Short Interest,0.0536
Today's Open,
Volume,250224.0
Volume 10-day Avg,442750.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.4984802431610943
Growth 1yr High Est,-0.48538011695906436
Growth 1yr Consensus Est,-0.4919301800600793
Growth 2yr Low Est,-0.24924012158054715
Growth 2yr High Est,-0.18871278575225947
Growth 2yr Consensus Est,-0.2189764536664033
Growth 5yr Low Est,-0.12462006079027357
Growth 5yr High Est,-0.09435639287612974
Growth 5yr Consensus Est,-0.10948822683320165
Growth 5yr Actual/Est,0.02764686382890108
Growth 3yr Historic,-0.0007863593895982568
Price/Earnings (TTM),16.54652
Price/Sales (TTM),0.65676
Price/Book (MRQ),1.49546
Price/Cash Flow (TTM),11.35248
5yr Low,7.37
5yr High,63.04
5yr Avg Return,-0.15071666666666667
EPS Growth 5yr,-0.1826111
Revenue Growth 5yr,-0.0969971
Dividend Growth 5yr,
Short Int Current Month,4338603.0
Short Int Prev Month,4505496.0
Short Int Pct of Float,0.053562700000000005
Days to Cover,6.62828
Float,80.97403
Shares Outstanding,83.06976
Institutions Holding Shares,297.0
FCF Growth 5yr,-2.2176515374791235
"Price/Earnings (TTM, GAAP)",16.55
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.0755
Net Profit Margin (TTM),0.0403
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0294
EPS Growth (TTM),0.1112
Revenue Growth (MRQ),0.008
Revenue Growth (TTM),0.0697
Return On Equity (TTM),0.0925
Return On Assets (TTM),0.0317
Return On Investment (TTM),0.0373
Revenue Per Employee (TTM),718058.0
Total Debt/Total Capital (MRQ),0.46490000000000004
Change in Debt/Total Capital Quarter over Quarter,-0.0016
Quick Ratio (MRQ),
Interest Coverage (MRQ),5.67
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-08-13 00:00:00
theStreet since,2022-04-14 00:00:00
cfra since,2017-06-22 00:00:00
ford since,2022-07-01 00:00:00
marketEdge opinion since,
