,MD,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",16.55,29.13,Valuation,0.5681428081016136
Price/Sales (TTM),0.66,1.32,Valuation,0.5
Price/Book (MRQ),1.5,4.31,Valuation,0.3480278422273782
"PEG Ratio (TTM, GAAP)",,0.26,Valuation,
Gross Profit Margin (TTM),,0.1318,Profitability,
Operating Profit Margin (TTM),0.0755,0.0458,Profitability,1.648471615720524
Net Profit Margin (TTM),0.0403,0.0242,Profitability,1.6652892561983472
Annual Dividend Yield,,0.0108,Dividend,
Dividend Change %,,7.1517,Dividend,
"Dividend Growth Rate, 3 Years",,0.3483,Dividend,
EPS Growth (MRQ),-0.0294,-0.1478,Gowth rates,0.1989174560216509
EPS Growth (TTM),0.1112,-1.101,Gowth rates,-0.10099909173478655
Revenue Growth (MRQ),0.008,0.0931,Gowth rates,0.08592910848549946
Revenue Growth (TTM),0.0697,0.1191,Gowth rates,0.5852225020990764
Return On Equity (TTM),0.0925,7.2022,Effectiveness,0.012843297881202965
Return On Assets (TTM),0.0317,0.0403,Effectiveness,0.7866004962779155
Return On Investment (TTM),0.0373,0.016,Effectiveness,2.33125
Revenue Per Employee (TTM),718058.0,1375304.0,Effectiveness,0.522108566542379
Total Debt/Total Capital (MRQ),0.46490000000000004,0.4855,Financial strength,0.9575695159629249
Change in Debt/Total Capital Quarter over Quarter,-0.0016,0.0015,Financial strength,-1.0666666666666667
Quick Ratio (MRQ),,0.31,Financial strength,
Interest Coverage (MRQ),5.67,9.55,Financial strength,0.5937172774869109
