,CHEF
Price/Earnings (TTM),43.75766
Price/Sales (TTM),0.6087
Price/Book (MRQ),3.76389
Price/Cash Flow (TTM),20.15337
5yr Low,3.55
5yr High,42.16
5yr Avg Return,0.15309999999999996
EPS Growth 5yr,
Revenue Growth 5yr,0.07914159999999999
Dividend Growth 5yr,
Short Int Current Month,2456741.0
Short Int Prev Month,2583496.0
Short Int Pct of Float,0.0723681
Days to Cover,10.0849
Float,34.20911
Shares Outstanding,38.27011
Institutions Holding Shares,240.0
% Held by Institutions,0.8834569999999999
FCF Growth 5yr,-0.6698525046497675
