,CHEF
% Below High,0.102
% Held by Institutions,0.8835
52-Wk Range,['26.28 - 42.16']
Annual Dividend $,
Annual Dividend %,
Ask,38.28
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,37.44
Bid Size,100.0
Closing Price,37.86
Day Change $,-0.03
Day Change %,-0.0008
Day High,38.22
Day Low,37.66
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.87
Ex-dividend Date,No dividend
Historical Volatility,0.462
Last (size),16.0
Last (time),12:59p ET 11/25/22
Market Cap,1.5B
"P/E Ratio (TTM, GAAP)",43.76
Prev Close,37.89
Short Interest,0.0724
Today's Open,37.66
Volume,90728.0
Volume 10-day Avg,225907.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.46464646464646453
Growth 1yr High Est,0.52
Growth 1yr Consensus Est,0.4923232323232323
Growth 2yr Low Est,0.23577150818530124
Growth 2yr High Est,0.3817105263157894
Growth 2yr Consensus Est,0.3087410172505453
Growth 5yr Low Est,0.11788575409265062
Growth 5yr High Est,0.1908552631578947
Growth 5yr Consensus Est,0.15437050862527266
Growth 5yr Actual/Est,-8.670275981954095
Growth 3yr Historic,-1.0038330289339614
Price/Earnings (TTM),43.75766
Price/Sales (TTM),0.6087
Price/Book (MRQ),3.76389
Price/Cash Flow (TTM),20.15337
5yr Low,3.55
5yr High,42.16
5yr Avg Return,0.15309999999999996
EPS Growth 5yr,
Revenue Growth 5yr,0.07914159999999999
Dividend Growth 5yr,
Short Int Current Month,2456741.0
Short Int Prev Month,2583496.0
Short Int Pct of Float,0.0723681
Days to Cover,10.0849
Float,34.20911
Shares Outstanding,38.27011
Institutions Holding Shares,240.0
FCF Growth 5yr,-0.6698525046497675
"Price/Earnings (TTM, GAAP)",43.76
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.23399999999999999
Operating Profit Margin (TTM),0.0302
Net Profit Margin (TTM),0.0147
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.5106
EPS Growth (TTM),1.6218000000000001
Revenue Growth (MRQ),0.0212
Revenue Growth (TTM),0.6202000000000001
Return On Equity (TTM),0.09670000000000001
Return On Assets (TTM),0.030699999999999998
Return On Investment (TTM),0.0376
Revenue Per Employee (TTM),877697.0
Total Debt/Total Capital (MRQ),0.5646
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),1.69
Interest Coverage (MRQ),2.12
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2021-10-19 00:00:00
ford since,2022-09-16 00:00:00
cfra since,
theStreet since,2021-10-19 00:00:00
newConstructs since,
marketEdge opinion since,
