,RL
% Above Low,0.3214
% Held by Institutions,1.0887
52-Wk Range,['82.23 - 135.99']
Annual Dividend $,3.0
Annual Dividend %,0.0274
Ask,108.65
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,108.56
Bid Size,100.0
Day Change $,-0.81
Day Change %,-0.0074
Day High,109.43
Day Low,108.44
Dividend Pay Date,2022-10-14 00:00:00
"EPS (TTM, GAAP)",7.17
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.455
Last (size),100.0
Last (time),12:51p ET 11/28/22
Market Cap,7.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",15.26
Prev Close,109.47
Price,108.66
Short Interest,0.099
Today's Open,108.44
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.09402795425667088
Growth 1yr High Est,-0.05724299065420568
Growth 1yr Consensus Est,-0.07563547245543828
Growth 2yr Low Est,-0.004236978530859914
Growth 2yr High Est,0.08166351086868401
Growth 2yr Consensus Est,0.03871326616891205
Growth 5yr Low Est,0.2602513024012368
Growth 5yr High Est,0.06379093910781139
Growth 5yr Consensus Est,0.16202112075452407
Growth 5yr Actual/Est,0.8146174586606248
Growth 3yr Historic,0.7971395265423243
Price/Earnings (TTM),15.25716
Price/Sales (TTM),1.12692
Price/Book (MRQ),3.21771
Price/Cash Flow (TTM),9.75025
5yr Low,59.82
5yr High,147.79
5yr Avg Return,0.030916666666666662
EPS Growth 5yr,
Revenue Growth 5yr,-0.0134111
Dividend Growth 5yr,
Short Int Current Month,3978400.0
Short Int Prev Month,4022319.0
Short Int Pct of Float,0.09899839999999999
Days to Cover,3.60307
Float,40.19973
Shares Outstanding,65.97249
Institutions Holding Shares,513.0
FCF Growth 5yr,-5.293437992034824
"Price/Earnings (TTM, GAAP)",15.26
"PEG Ratio (TTM, GAAP)",1.95
Gross Profit Margin (TTM),0.655
Operating Profit Margin (TTM),0.1104
Net Profit Margin (TTM),0.0805
Annual Dividend Yield,0.027400000000000004
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2638
EPS Growth (TTM),0.2956
Revenue Growth (MRQ),0.0599
Revenue Growth (TTM),0.1444
Return On Equity (TTM),0.2016
Return On Assets (TTM),0.0692
Return On Investment (TTM),0.0943
Revenue Per Employee (TTM),474711.0
Total Debt/Total Capital (MRQ),0.39630000000000004
Change in Debt/Total Capital Quarter over Quarter,-0.0011
Quick Ratio (MRQ),1.27
Interest Coverage (MRQ),70.93
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-03-11 00:00:00
theStreet since,2022-11-08 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-11-10 00:00:00
ford since,2022-03-11 00:00:00
marketEdge opinion since,
