,RL,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",15.26,21.69,Valuation,0.7035500230520977
Price/Sales (TTM),1.13,3.75,Valuation,0.3013333333333333
Price/Book (MRQ),3.22,9.43,Valuation,0.34146341463414637
"PEG Ratio (TTM, GAAP)",1.95,2.33,Valuation,0.8369098712446351
Gross Profit Margin (TTM),0.655,0.49729999999999996,Profitability,1.3171124069977882
Operating Profit Margin (TTM),0.1104,0.1348,Profitability,0.8189910979228486
Net Profit Margin (TTM),0.0805,0.0965,Profitability,0.8341968911917098
Annual Dividend Yield,0.027400000000000004,0.013999999999999999,Dividend,1.9571428571428577
Dividend Change %,,0.0796,Dividend,
"Dividend Growth Rate, 3 Years",,0.059800000000000006,Dividend,
EPS Growth (MRQ),0.2638,0.44920000000000004,Gowth rates,0.5872662511130898
EPS Growth (TTM),0.2956,0.0931,Gowth rates,3.175080558539205
Revenue Growth (MRQ),0.0599,0.0901,Gowth rates,0.6648168701442841
Revenue Growth (TTM),0.1444,0.1015,Gowth rates,1.4226600985221673
Return On Equity (TTM),0.2016,0.35840000000000005,Effectiveness,0.5624999999999999
Return On Assets (TTM),0.0692,0.14250000000000002,Effectiveness,0.4856140350877192
Return On Investment (TTM),0.0943,0.1893,Effectiveness,0.4981510829371368
Revenue Per Employee (TTM),474711.0,519163.0,Effectiveness,0.9143775654274284
Total Debt/Total Capital (MRQ),0.39630000000000004,0.31579999999999997,Financial strength,1.254908169727676
Change in Debt/Total Capital Quarter over Quarter,-0.0011,-0.0002,Financial strength,5.5
Quick Ratio (MRQ),1.27,1.39,Financial strength,0.9136690647482015
Interest Coverage (MRQ),70.93,76.17,Financial strength,0.9312065117500329
