,RELY
% Above Low,0.5646
% Held by Institutions,0.7064
52-Wk Range,['6.66 - 25.88']
Annual Dividend $,
Annual Dividend %,
Ask,10.44
Ask Size,700.0
B/A Ratio,0.7142857142857143
B/A Size,500x700
Beta,
Bid,10.41
Bid Size,500.0
Day Change $,-0.35
Day Change %,-0.0325
Day High,10.83
Day Low,10.34
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.67
Ex-dividend Date,No dividend
Historical Volatility,0.763
Last (size),100.0
Last (time),12:32p ET 11/28/22
Market Cap,1.8B
"P/E Ratio (TTM, GAAP)",
Prev Close,10.77
Price,10.42
Short Interest,0.0226
Today's Open,10.67
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.025974025974025983
Growth 2yr High Est,-0.7792207792207793
Growth 2yr Consensus Est,-0.4025974025974026
Growth 5yr Low Est,-0.025974025974025983
Growth 5yr High Est,-0.7792207792207793
Growth 5yr Consensus Est,-0.4025974025974026
Growth 5yr Actual/Est,-0.047788149350649345
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),3.07478
Price/Book (MRQ),3.93564
Price/Cash Flow (TTM),
5yr Low,6.66
5yr High,53.65
5yr Avg Return,-0.5556
Short Int Current Month,3109469.0
Short Int Prev Month,4153759.0
Short Int Pct of Float,0.022570899999999998
Days to Cover,2.35151
Float,138.148
Shares Outstanding,170.6638
Institutions Holding Shares,169.0
FCF Growth 5yr,-1.8375040442230806
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5928
Operating Profit Margin (TTM),-0.19190000000000002
Net Profit Margin (TTM),-0.18600000000000003
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1461
EPS Growth (TTM),-2.4768000000000003
Revenue Growth (MRQ),0.0763
Revenue Growth (TTM),0.48200000000000004
Return On Equity (TTM),-0.2331
Return On Assets (TTM),-0.1641
Return On Investment (TTM),-0.23
Revenue Per Employee (TTM),332102.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-04 00:00:00
theStreet since,2022-11-04 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
