,FORR
Price/Earnings (TTM),21.45595
Price/Sales (TTM),1.25083
Price/Book (MRQ),3.12569
Price/Cash Flow (TTM),12.2513
5yr Low,22.45
5yr High,60.9
5yr Avg Return,-0.017783333333333342
EPS Growth 5yr,0.058438800000000006
Revenue Growth 5yr,0.0867557
Dividend Growth 5yr,
Short Int Current Month,98321.0
Short Int Prev Month,139552.0
Short Int Pct of Float,0.008736
Days to Cover,1.78257
Float,11.27459
Shares Outstanding,19.052
Institutions Holding Shares,183.0
% Held by Institutions,0.55616
FCF Growth 5yr,-0.07756398372412454
