,FORR
% Above Low,0.0481
% Held by Institutions,0.5562
52-Wk Range,['33.49 - 60.90']
Annual Dividend $,
Annual Dividend %,
Ask,53.0
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.0
Bid,14.12
Bid Size,200.0
Closing Price,35.1
Day Change $,-0.24
Day Change %,-0.0068000000000000005
Day High,35.55
Day Low,34.87
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.64
Ex-dividend Date,No dividend
Historical Volatility,0.34
Last (size),5.0
Last (time),1:00p ET 11/25/22
Market Cap,668.7M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",21.46
Prev Close,35.34
Short Interest,0.0087
Today's Open,35.33
Volume,11580.0
Volume 10-day Avg,48316.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,0.13043478260869557
Growth 1yr High Est,0.13526570048309194
Growth 1yr Consensus Est,0.13285024154589375
Growth 2yr Low Est,0.03530286138981792
Growth 2yr High Est,0.10167540343303527
Growth 2yr Consensus Est,0.0684891324114266
Growth 5yr Low Est,0.12969235345308452
Growth 5yr High Est,0.17115912971485048
Growth 5yr Consensus Est,0.15042574158396751
Growth 5yr Actual/Est,0.1054063698293122
Growth 3yr Historic,0.06898674242424244
Price/Earnings (TTM),21.45595
Price/Sales (TTM),1.25083
Price/Book (MRQ),3.12569
Price/Cash Flow (TTM),12.2513
5yr Low,22.45
5yr High,60.9
5yr Avg Return,-0.017783333333333342
EPS Growth 5yr,0.058438800000000006
Revenue Growth 5yr,0.0867557
Dividend Growth 5yr,
Short Int Current Month,98321.0
Short Int Prev Month,139552.0
Short Int Pct of Float,0.008736
Days to Cover,1.78257
Float,11.27459
Shares Outstanding,19.052
Institutions Holding Shares,183.0
FCF Growth 5yr,-0.07756398372412454
"Price/Earnings (TTM, GAAP)",21.46
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.59
Operating Profit Margin (TTM),0.0883
Net Profit Margin (TTM),0.0588
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.6091
EPS Growth (TTM),0.6428
Revenue Growth (MRQ),-0.1387
Revenue Growth (TTM),0.1112
Return On Equity (TTM),0.1516
Return On Assets (TTM),0.0507
Return On Investment (TTM),0.08789999999999999
Revenue Per Employee (TTM),300182.0
Total Debt/Total Capital (MRQ),0.1895
Change in Debt/Total Capital Quarter over Quarter,-0.0043
Quick Ratio (MRQ),
Interest Coverage (MRQ),14.65
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2021-05-06 00:00:00
researchTeam since,2022-11-04 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
