,VST,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,39.39,Valuation,
Price/Sales (TTM),0.73,5.57,Valuation,0.1310592459605027
Price/Book (MRQ),2.73,3.81,Valuation,0.7165354330708661
"PEG Ratio (TTM, GAAP)",,0.25,Valuation,
Gross Profit Margin (TTM),,0.373,Profitability,
Operating Profit Margin (TTM),-0.014499999999999999,-0.0075,Profitability,1.9333333333333333
Net Profit Margin (TTM),-0.0177,-0.020800000000000003,Profitability,0.8509615384615384
Annual Dividend Yield,0.032100000000000004,0.032100000000000004,Dividend,1.0
Dividend Change %,0.11109999999999999,0.151,Dividend,0.7357615894039735
"Dividend Growth Rate, 3 Years",,0.023,Dividend,
EPS Growth (MRQ),1.4627000000000001,13.3408,Gowth rates,0.10964110098344929
EPS Growth (TTM),0.7716,1.5813,Gowth rates,0.48795295010434453
Revenue Growth (MRQ),2.2406,0.26,Gowth rates,8.617692307692307
Revenue Growth (TTM),0.1671,0.1776,Gowth rates,0.9408783783783783
Return On Equity (TTM),-0.0765,0.0336,Effectiveness,-2.2767857142857144
Return On Assets (TTM),-0.0072,-0.1124,Effectiveness,0.06405693950177936
Return On Investment (TTM),-0.0103,0.0333,Effectiveness,-0.3093093093093093
Revenue Per Employee (TTM),2603360.0,1716942.0,Effectiveness,1.5162771951527774
Total Debt/Total Capital (MRQ),0.6964,0.5949,Financial strength,1.17061691040511
Change in Debt/Total Capital Quarter over Quarter,-0.0006,-0.0003,Financial strength,2.0
Quick Ratio (MRQ),1.05,1.11,Financial strength,0.9459459459459459
Interest Coverage (MRQ),13.67,14.12,Financial strength,0.968130311614731
