,VST
% Below High,0.13140000000000002
% Held by Institutions,0.9797
52-Wk Range,['19.65 - 27.39']
Annual Dividend $,0.772
Annual Dividend %,0.0321
Ask,25.95
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.0
Bid,21.68
Bid Size,100.0
Closing Price,23.79
Day Change $,-0.29
Day Change %,-0.012
Day High,23.9
Day Low,23.57
Dividend Pay Date,2022-12-29 00:00:00
"EPS (TTM, GAAP)",-0.96
Ex-dividend,2022-12-19 00:00:00
Ex-dividend Date,12/19/22
Historical Volatility,0.342
Last (size),3.0
Last (time),7:00p ET 11/28/22
Market Cap,9.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,24.08
Short Interest,0.0177
Today's Open,23.76
Volume,1896902.0
Volume 10-day Avg,2768071.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-24 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-1.864864864864865
Growth 2yr High Est,0.5174825174825175
Growth 2yr Consensus Est,-0.6736911736911737
Growth 5yr Low Est,-1.864864864864865
Growth 5yr High Est,0.5174825174825175
Growth 5yr Consensus Est,-0.6736911736911737
Growth 5yr Actual/Est,-0.831063098961746
Growth 3yr Historic,-0.8425765095119934
Price/Earnings (TTM),
Price/Sales (TTM),0.72745
Price/Book (MRQ),2.7256
Price/Cash Flow (TTM),5.54235
5yr Low,11.3
5yr High,27.96
5yr Avg Return,0.04738333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.185208
Dividend Growth 5yr,
Short Int Current Month,7005148.0
Short Int Prev Month,6962064.0
Short Int Pct of Float,0.017679800000000002
Days to Cover,1.68251
Float,396.3717
Shares Outstanding,397.9535
Institutions Holding Shares,565.0
FCF Growth 5yr,-5.985012176775293
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-0.014499999999999999
Net Profit Margin (TTM),-0.0177
Annual Dividend Yield,0.032100000000000004
Dividend Change %,0.11109999999999999
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.4627000000000001
EPS Growth (TTM),0.7716
Revenue Growth (MRQ),2.2406
Revenue Growth (TTM),0.1671
Return On Equity (TTM),-0.0765
Return On Assets (TTM),-0.0072
Return On Investment (TTM),-0.0103
Revenue Per Employee (TTM),2603360.0
Total Debt/Total Capital (MRQ),0.6964
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),1.05
Interest Coverage (MRQ),13.67
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-11-11 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-07-01 00:00:00
cfra since,
marketEdge opinion since,
