,AMTX
% Above Low,0.1865
% Held by Institutions,0.573
52-Wk Range,['4.45 - 20.39']
Annual Dividend $,
Annual Dividend %,
Ask,5.4
Ask Size,800.0
B/A Ratio,0.25
B/A Size,200x800
Beta,0.8
Bid,5.26
Bid Size,200.0
Closing Price,5.28
Day Change $,-0.03
Day Change %,-0.005600000000000001
Day High,5.39
Day Low,5.23
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.5
Ex-dividend Date,No dividend
Historical Volatility,1.006
Last (size),40.0
Last (time),1:00p ET 11/25/22
Market Cap,185.0M
"P/E Ratio (TTM, GAAP)",
Prev Close,5.31
Short Interest,0.1628
Today's Open,5.23
Volume,85013.0
Volume 10-day Avg,524192.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-09 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.05142857142857149
Growth 1yr High Est,-0.6228571428571428
Growth 1yr Consensus Est,-0.33714285714285713
Growth 2yr Low Est,-0.36005163511187604
Growth 2yr High Est,-1.0387012987012987
Growth 2yr Consensus Est,-0.6993764669065874
Growth 5yr Low Est,-0.18002581755593802
Growth 5yr High Est,-0.5193506493506493
Growth 5yr Consensus Est,-0.3496882334532937
Growth 5yr Actual/Est,-0.30682610103708874
Growth 3yr Historic,-0.030164203612479457
Price/Earnings (TTM),
Price/Sales (TTM),0.72806
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,0.3705
5yr High,27.44
5yr Avg Return,0.8342666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.08164099999999999
Dividend Growth 5yr,
Short Int Current Month,5606467.0
Short Int Prev Month,5739642.0
Short Int Pct of Float,0.16281310000000002
Days to Cover,7.36411
Float,34.43498
Shares Outstanding,35.04388
Institutions Holding Shares,117.0
FCF Growth 5yr,0.19298852262221933
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.0326
Operating Profit Margin (TTM),-0.2695
Net Profit Margin (TTM),-0.3393
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-316.7769
EPS Growth (TTM),-0.1101
Revenue Growth (MRQ),0.09
Revenue Growth (TTM),0.3744
Return On Equity (TTM),
Return On Assets (TTM),-0.4986
Return On Investment (TTM),-1.9563
Revenue Per Employee (TTM),1608506.0
Total Debt/Total Capital (MRQ),5.1036
Change in Debt/Total Capital Quarter over Quarter,-0.0025
Quick Ratio (MRQ),0.07
Interest Coverage (MRQ),-1.39
cfra,
newConstructs,rating-box
ford,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
cfra since,
newConstructs since,
ford since,
theStreet since,
researchTeam since,
marketEdge opinion since,
