,AMTX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,9.13,Valuation,
Price/Sales (TTM),0.73,7.57,Valuation,0.0964332892998679
Price/Book (MRQ),,4.65,Valuation,
"PEG Ratio (TTM, GAAP)",,0.01,Valuation,
Gross Profit Margin (TTM),0.0326,0.35119999999999996,Profitability,0.0928246013667426
Operating Profit Margin (TTM),-0.2695,0.192,Profitability,-1.4036458333333335
Net Profit Margin (TTM),-0.3393,0.0358,Profitability,-9.477653631284916
Annual Dividend Yield,,0.0379,Dividend,
Dividend Change %,,0.13269999999999998,Dividend,
"Dividend Growth Rate, 3 Years",,0.10189999999999999,Dividend,
EPS Growth (MRQ),-316.7769,2.3421000000000003,Gowth rates,-135.25336236710643
EPS Growth (TTM),-0.1101,7.2215,Gowth rates,-0.015246139998615247
Revenue Growth (MRQ),0.09,0.7168000000000001,Gowth rates,0.1255580357142857
Revenue Growth (TTM),0.3744,47.807,Gowth rates,0.007831489112473068
Return On Equity (TTM),,0.3993,Effectiveness,
Return On Assets (TTM),-0.4986,0.15810000000000002,Effectiveness,-3.1537001897533203
Return On Investment (TTM),-1.9563,0.2237,Effectiveness,-8.745194456861867
Revenue Per Employee (TTM),1608506.0,7554984.0,Effectiveness,0.21290660575852974
Total Debt/Total Capital (MRQ),5.1036,0.3658,Financial strength,13.951886276653909
Change in Debt/Total Capital Quarter over Quarter,-0.0025,-0.002,Financial strength,1.25
Quick Ratio (MRQ),0.07,0.96,Financial strength,0.07291666666666667
Interest Coverage (MRQ),-1.39,13.28,Financial strength,-0.10466867469879518
