,MIDD
% Above Low,0.1893
% Held by Institutions,1.0192
52-Wk Range,['120.30 - 201.34']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.5
Bid,
Bid Size,
Closing Price,143.07
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",7.31
Ex-dividend Date,No dividend
Historical Volatility,0.38200000000000006
Last (size),35.0
Last (time),1:00p ET 11/25/22
Market Cap,7.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",19.57
Prev Close,143.07
Short Interest,0.0842
Today's Open,
Volume,128187.0
Volume 10-day Avg,781317.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.15163398692810448
Growth 1yr High Est,0.1344956413449565
Growth 1yr Consensus Est,0.1430648141365305
Growth 2yr Low Est,0.0905729526013962
Growth 2yr High Est,0.17262652539256607
Growth 2yr Consensus Est,0.13159973899698113
Growth 5yr Low Est,0.28260419062315306
Growth 5yr High Est,0.3138915073193647
Growth 5yr Consensus Est,0.2982478489712589
Growth 5yr Actual/Est,0.12823794272816513
Growth 3yr Historic,0.07683978954140247
Price/Earnings (TTM),19.56791
Price/Sales (TTM),1.99327
Price/Book (MRQ),3.08544
Price/Cash Flow (TTM),14.0796
5yr Low,41.73
5yr High,201.34
5yr Avg Return,0.05340000000000001
EPS Growth 5yr,0.1160489
Revenue Growth 5yr,0.0746694
Dividend Growth 5yr,
Short Int Current Month,4487160.0
Short Int Prev Month,4688180.0
Short Int Pct of Float,0.0841671
Days to Cover,4.91566
Float,53.32396
Shares Outstanding,53.88352
Institutions Holding Shares,429.0
FCF Growth 5yr,-0.9526851720496209
"Price/Earnings (TTM, GAAP)",19.57
"PEG Ratio (TTM, GAAP)",1.75
Gross Profit Margin (TTM),0.35479999999999995
Operating Profit Margin (TTM),0.1526
Net Profit Margin (TTM),0.105
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0738
EPS Growth (TTM),-0.0571
Revenue Growth (MRQ),-0.020499999999999997
Revenue Growth (TTM),0.2421
Return On Equity (TTM),0.1693
Return On Assets (TTM),0.0653
Return On Investment (TTM),0.076
Revenue Per Employee (TTM),866196.0
Total Debt/Total Capital (MRQ),0.5229
Change in Debt/Total Capital Quarter over Quarter,0.0026000000000000003
Quick Ratio (MRQ),0.95
Interest Coverage (MRQ),6.82
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-08-13 00:00:00
theStreet since,2022-05-12 00:00:00
ford since,2022-09-30 00:00:00
cfra since,
marketEdge opinion since,
