,SPSC
% Below High,0.1052
% Held by Institutions,1.0219
52-Wk Range,['96.41 - 147.78']
Annual Dividend $,
Annual Dividend %,
Ask,132.54
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.7
Bid,131.94
Bid Size,200.0
Day Change $,0.24
Day Change %,0.0018
Day High,134.13
Day Low,128.8
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.41
Ex-dividend Date,No dividend
Historical Volatility,0.433
Last (size),1.0
Last (time),3:03p ET 11/28/22
Market Cap,4.8B
"P/E Ratio (TTM, GAAP)",93.88
Prev Close,132.0
Price,132.24
Short Interest,0.0184
Today's Open,131.57
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.2655367231638419
Growth 1yr High Est,0.27222222222222214
Growth 1yr Consensus Est,0.26887947269303203
Growth 2yr Low Est,0.16625050443906375
Growth 2yr High Est,0.20816351285783596
Growth 2yr Consensus Est,0.18720700864844986
Growth 5yr Low Est,0.18538777186920624
Growth 5yr High Est,0.20900557056772168
Growth 5yr Consensus Est,0.19719667121846396
Growth 5yr Actual/Est,0.17861301331430007
Growth 3yr Historic,0.09621374591503268
Price/Earnings (TTM),93.88069
Price/Sales (TTM),11.02262
Price/Book (MRQ),9.37041
Price/Cash Flow (TTM),60.92025
5yr Low,23.76
5yr High,174.42
5yr Avg Return,0.36458333333333337
EPS Growth 5yr,0.529958
Revenue Growth 5yr,0.1480852
Dividend Growth 5yr,
Short Int Current Month,659947.0
Short Int Prev Month,721094.0
Short Int Pct of Float,0.0183767
Days to Cover,5.03769
Float,35.90757
Shares Outstanding,36.04171
Institutions Holding Shares,432.0
FCF Growth 5yr,-1191.68706665336
"Price/Earnings (TTM, GAAP)",93.88
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.659
Operating Profit Margin (TTM),0.1565
Net Profit Margin (TTM),0.1204
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.4739
EPS Growth (TTM),0.1423
Revenue Growth (MRQ),0.048600000000000004
Revenue Growth (TTM),0.17980000000000002
Return On Equity (TTM),0.1063
Return On Assets (TTM),0.08460000000000001
Return On Investment (TTM),0.1011
Revenue Per Employee (TTM),227045.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),34.85
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-09-09 00:00:00
theStreet since,2022-10-31 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
