,UNH
% Below High,0.0463
% Held by Institutions,0.8708
52-Wk Range,['439.22 - 558.10']
Annual Dividend $,6.6
Annual Dividend %,0.0123
Ask,530.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.7
Bid,529.5
Bid Size,100.0
Closing Price,532.27
Day Change $,-5.35
Day Change %,-0.01
Day High,539.58
Day Low,531.69
Dividend Pay Date,2022-12-13 00:00:00
"EPS (TTM, GAAP)",20.42
Ex-dividend,2022-12-02 00:00:00
Ex-dividend Date,12/02/22
Historical Volatility,0.24300000000000002
Last (size),4.0
Last (time),7:00p ET 11/28/22
Market Cap,497.3B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",26.33
Prev Close,537.62
Short Interest,0.0053
Today's Open,535.83
Volume,2702268.0
Volume 10-day Avg,3713147.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-18 00:00:00
Growth Analysts,29.0
Growth 1yr Low Est,0.16924719701014412
Growth 1yr High Est,0.17547568710359385
Growth 1yr Consensus Est,0.17236144205686899
Growth 2yr Low Est,0.14398432909867942
Growth 2yr High Est,0.15855618887553802
Growth 2yr Consensus Est,0.15127025898710872
Growth 5yr Low Est,0.13202446744835394
Growth 5yr High Est,0.13901558931826236
Growth 5yr Consensus Est,0.13552002838330815
Growth 5yr Actual/Est,0.13356632185275297
Growth 3yr Historic,0.060979554358088106
Price/Earnings (TTM),26.33426
Price/Sales (TTM),1.59408
Price/Book (MRQ),6.73411
Price/Cash Flow (TTM),21.73531
5yr Low,187.72
5yr High,558.1
5yr Avg Return,0.17098333333333332
EPS Growth 5yr,0.2005687
Revenue Growth 5yr,0.09244020000000001
Dividend Growth 5yr,0.187148
Short Int Current Month,4921234.0
Short Int Prev Month,5155359.0
Short Int Pct of Float,0.0052925
Days to Cover,1.33307
Float,929.8782
Shares Outstanding,934.3491
Institutions Holding Shares,3786.0
FCF Growth 5yr,0.7225324721275007
"Price/Earnings (TTM, GAAP)",26.33
"PEG Ratio (TTM, GAAP)",1.85
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.086
Net Profit Margin (TTM),0.0632
Annual Dividend Yield,0.0123
Dividend Change %,0.1594
"Dividend Growth Rate, 3 Years",0.1752
EPS Growth (MRQ),0.0401
EPS Growth (TTM),0.2662
Revenue Growth (MRQ),0.006999999999999999
Revenue Growth (TTM),0.1282
Return On Equity (TTM),0.2681
Return On Assets (TTM),0.0874
Return On Investment (TTM),
Revenue Per Employee (TTM),900337.0
Total Debt/Total Capital (MRQ),0.36979999999999996
Change in Debt/Total Capital Quarter over Quarter,-0.0009
Quick Ratio (MRQ),
Interest Coverage (MRQ),14.46
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-10-14 00:00:00
theStreet since,2010-01-05 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-01-14 00:00:00
ford since,2022-11-25 00:00:00
marketEdge opinion since,
