,UNH,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",26.33,29.13,Valuation,0.9038791623755578
Price/Sales (TTM),1.59,1.32,Valuation,1.2045454545454546
Price/Book (MRQ),6.73,4.31,Valuation,1.5614849187935038
"PEG Ratio (TTM, GAAP)",1.85,0.26,Valuation,7.115384615384616
Gross Profit Margin (TTM),,0.1318,Profitability,
Operating Profit Margin (TTM),0.086,0.0458,Profitability,1.8777292576419213
Net Profit Margin (TTM),0.0632,0.0242,Profitability,2.6115702479338845
Annual Dividend Yield,0.0123,0.0108,Dividend,1.1388888888888888
Dividend Change %,0.1594,7.1517,Dividend,0.022288406952193182
"Dividend Growth Rate, 3 Years",0.1752,0.3483,Dividend,0.5030146425495262
EPS Growth (MRQ),0.0401,-0.1478,Gowth rates,-0.2713125845737483
EPS Growth (TTM),0.2662,-1.101,Gowth rates,-0.24178019981834695
Revenue Growth (MRQ),0.006999999999999999,0.0931,Gowth rates,0.07518796992481203
Revenue Growth (TTM),0.1282,0.1191,Gowth rates,1.0764063811922755
Return On Equity (TTM),0.2681,7.2022,Effectiveness,0.037224736885951515
Return On Assets (TTM),0.0874,0.0403,Effectiveness,2.1687344913151363
Return On Investment (TTM),,0.016,Effectiveness,
Revenue Per Employee (TTM),900337.0,1375304.0,Effectiveness,0.654645809217453
Total Debt/Total Capital (MRQ),0.36979999999999996,0.4855,Financial strength,0.7616889804325437
Change in Debt/Total Capital Quarter over Quarter,-0.0009,0.0015,Financial strength,-0.6
Quick Ratio (MRQ),,0.31,Financial strength,
Interest Coverage (MRQ),14.46,9.55,Financial strength,1.5141361256544503
