,NEX
% Below High,0.1968
% Held by Institutions,0.8261
52-Wk Range,['3.21 - 12.50']
Annual Dividend $,
Annual Dividend %,
Ask,10.09
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,2.1
Bid,9.75
Bid Size,200.0
Change Since Close,-0.15| |(-1.49%)
Closing Price,10.04
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.77
Ex-dividend Date,No dividend
Historical Volatility,0.728
Last (size),45.0
Last (time),5:00p ET 11/25/22
Last Trade,9.89
Market Cap,2.5B
"P/E Ratio (TTM, GAAP)",13.02
Prev Close,10.04
Short Interest,0.0245
Today's Open,
Volume,3415.0
Volume 10-day Avg,2691553.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.627906976744186
Growth 2yr High Est,0.8435374149659864
Growth 2yr Consensus Est,0.7357221958550862
Growth 5yr Low Est,0.627906976744186
Growth 5yr High Est,0.8435374149659864
Growth 5yr Consensus Est,0.7357221958550862
Growth 5yr Actual/Est,4.466993402244836
Growth 3yr Historic,5.343478260869564
Price/Earnings (TTM),13.02425
Price/Sales (TTM),0.85485
Price/Book (MRQ),3.231
Price/Cash Flow (TTM),5.92433
5yr Low,1.0
5yr High,19.83
5yr Avg Return,0.14375
EPS Growth 5yr,
Revenue Growth 5yr,0.2761456
Dividend Growth 5yr,
Short Int Current Month,5355873.0
Short Int Prev Month,6485584.0
Short Int Pct of Float,0.024506
Days to Cover,1.91492
Float,218.2091
Shares Outstanding,245.5298
Institutions Holding Shares,284.0
FCF Growth 5yr,36.86871219863263
"Price/Earnings (TTM, GAAP)",13.02
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2091
Operating Profit Margin (TTM),0.07110000000000001
Net Profit Margin (TTM),0.0669
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.5296000000000001
EPS Growth (TTM),1.8781999999999999
Revenue Growth (MRQ),0.063
Revenue Growth (TTM),1.5547
Return On Equity (TTM),0.2987
Return On Assets (TTM),0.1198
Return On Investment (TTM),0.18280000000000002
Revenue Per Employee (TTM),863382.0
Total Debt/Total Capital (MRQ),0.3442
Change in Debt/Total Capital Quarter over Quarter,-0.0023
Quick Ratio (MRQ),1.21
Interest Coverage (MRQ),16.7
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-10-24 00:00:00
theStreet since,2022-10-24 00:00:00
ford since,2022-10-07 00:00:00
cfra since,
marketEdge opinion since,
