,NEX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",13.02,669.05,Valuation,0.01946042896644496
Price/Sales (TTM),0.85,2.16,Valuation,0.3935185185185185
Price/Book (MRQ),3.23,3.21,Valuation,1.0062305295950156
"PEG Ratio (TTM, GAAP)",,45.77,Valuation,
Gross Profit Margin (TTM),0.2091,0.1895,Profitability,1.1034300791556728
Operating Profit Margin (TTM),0.07110000000000001,0.0622,Profitability,1.1430868167202575
Net Profit Margin (TTM),0.0669,0.011899999999999999,Profitability,5.621848739495799
Annual Dividend Yield,,0.0131,Dividend,
Dividend Change %,,-0.2443,Dividend,
"Dividend Growth Rate, 3 Years",,-0.21420000000000003,Dividend,
EPS Growth (MRQ),0.5296000000000001,0.659,Gowth rates,0.8036418816388468
EPS Growth (TTM),1.8781999999999999,-0.1462,Gowth rates,-12.846785225718193
Revenue Growth (MRQ),0.063,0.3728,Gowth rates,0.16899141630901288
Revenue Growth (TTM),1.5547,0.2954,Gowth rates,5.26303317535545
Return On Equity (TTM),0.2987,0.0775,Effectiveness,3.854193548387097
Return On Assets (TTM),0.1198,0.0348,Effectiveness,3.4425287356321843
Return On Investment (TTM),0.18280000000000002,0.1063,Effectiveness,1.7196613358419568
Revenue Per Employee (TTM),863382.0,673709.0,Effectiveness,1.2815354997484076
Total Debt/Total Capital (MRQ),0.3442,0.3983,Financial strength,0.86417273412001
Change in Debt/Total Capital Quarter over Quarter,-0.0023,0.0006,Financial strength,-3.8333333333333335
Quick Ratio (MRQ),1.21,1.2,Financial strength,1.0083333333333333
Interest Coverage (MRQ),16.7,15.83,Financial strength,1.0549589387239418
