,RGLD,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",28.41,8.08,Valuation,3.516089108910891
Price/Sales (TTM),11.7,26.91,Valuation,0.43478260869565216
Price/Book (MRQ),2.63,2.97,Valuation,0.8855218855218854
"PEG Ratio (TTM, GAAP)",17.76,0.16,Valuation,111.00000000000001
Gross Profit Margin (TTM),0.8326000000000001,0.375,Profitability,2.220266666666667
Operating Profit Margin (TTM),0.4833,0.1536,Profitability,3.1464843750000004
Net Profit Margin (TTM),0.4133,-0.0743,Profitability,-5.562584118438761
Annual Dividend Yield,0.0138,0.0221,Dividend,0.6244343891402714
Dividend Change %,,1.2769,Dividend,
"Dividend Growth Rate, 3 Years",,0.1663,Dividend,
EPS Growth (MRQ),-0.3561,2.9959,Gowth rates,-0.11886244534196737
EPS Growth (TTM),-0.056799999999999996,0.5015,Gowth rates,-0.11326021934197408
Revenue Growth (MRQ),-0.10250000000000001,-0.0395,Gowth rates,2.5949367088607596
Revenue Growth (TTM),-0.053899999999999997,0.19710000000000003,Gowth rates,-0.2734652460679857
Return On Equity (TTM),0.09550000000000002,0.2866,Effectiveness,0.33321702721563157
Return On Assets (TTM),0.08140000000000001,0.08710000000000001,Effectiveness,0.9345579793340988
Return On Investment (TTM),0.0834,0.1716,Effectiveness,0.48601398601398604
Revenue Per Employee (TTM),20991240.0,1553496.0,Effectiveness,13.51225880208253
Total Debt/Total Capital (MRQ),0.141,0.3055,Financial strength,0.4615384615384615
Change in Debt/Total Capital Quarter over Quarter,0.028900000000000002,0.0382,Financial strength,0.7565445026178012
Quick Ratio (MRQ),2.61,2.21,Financial strength,1.1809954751131222
Interest Coverage (MRQ),12.64,28.97,Financial strength,0.4363134276838109
