,CHE
% Below High,0.0425
% Held by Institutions,0.9212
52-Wk Range,['430.16 - 539.87']
Annual Dividend $,1.52
Annual Dividend %,0.0029
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.5
Bid,206.48
Bid Size,
Closing Price,516.92
Day Change $,3.82
Day Change %,0.0074
Day High,521.22
Day Low,510.23
Dividend Pay Date,2022-12-05 00:00:00
"EPS (TTM, GAAP)",17.22
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.24600000000000002
Last (size),12.0
Last (time),5:00p ET 11/25/22
Market Cap,7.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",30.03
Prev Close,513.1
Short Interest,0.0255
Today's Open,513.54
Volume,43546.0
Volume 10-day Avg,86148.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.17354877318970674
Growth 1yr High Est,0.02813965607087021
Growth 1yr Consensus Est,0.10084421463028848
Growth 2yr Low Est,0.0959533769059191
Growth 2yr High Est,0.029528520382115286
Growth 2yr Consensus Est,0.06274094864401719
Growth 5yr Low Est,0.10736044561974437
Growth 5yr High Est,0.10535907715516596
Growth 5yr Consensus Est,0.10635976138745516
Growth 5yr Actual/Est,0.10255918235202272
Growth 3yr Historic,0.09129862895296093
Price/Earnings (TTM),30.0251
Price/Sales (TTM),3.61002
Price/Book (MRQ),10.60789
Price/Cash Flow (TTM),23.94353
5yr Low,234.0
5yr High,560.0
5yr Avg Return,0.15153333333333335
EPS Growth 5yr,0.2107179
Revenue Growth 5yr,0.0629014
Dividend Growth 5yr,
Short Int Current Month,368118.0
Short Int Prev Month,305528.0
Short Int Pct of Float,0.0254903
Days to Cover,3.35116
Float,14.5102
Shares Outstanding,14.87031
Institutions Holding Shares,562.0
FCF Growth 5yr,0.046356442315254154
"Price/Earnings (TTM, GAAP)",30.03
"PEG Ratio (TTM, GAAP)",4.32
Gross Profit Margin (TTM),0.3629
Operating Profit Margin (TTM),0.16920000000000002
Net Profit Margin (TTM),0.1231
Annual Dividend Yield,0.0029
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1403
EPS Growth (TTM),-0.0953
Revenue Growth (MRQ),-0.0091
Revenue Growth (TTM),-0.0011
Return On Equity (TTM),0.3492
Return On Assets (TTM),0.196
Return On Investment (TTM),0.25079999999999997
Revenue Per Employee (TTM),150618.0
Total Debt/Total Capital (MRQ),0.1408
Change in Debt/Total Capital Quarter over Quarter,0.3607
Quick Ratio (MRQ),0.63
Interest Coverage (MRQ),66.02
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
ford since,2021-10-29 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2017-10-30 00:00:00
