,CHE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",30.03,29.13,Valuation,1.0308959835221423
Price/Sales (TTM),3.61,1.32,Valuation,2.7348484848484844
Price/Book (MRQ),10.61,4.31,Valuation,2.4617169373549883
"PEG Ratio (TTM, GAAP)",4.32,0.26,Valuation,16.615384615384617
Gross Profit Margin (TTM),0.3629,0.1318,Profitability,2.7534142640364188
Operating Profit Margin (TTM),0.16920000000000002,0.0458,Profitability,3.694323144104804
Net Profit Margin (TTM),0.1231,0.0242,Profitability,5.086776859504132
Annual Dividend Yield,0.0029,0.0108,Dividend,0.2685185185185185
Dividend Change %,,7.1517,Dividend,
"Dividend Growth Rate, 3 Years",,0.3483,Dividend,
EPS Growth (MRQ),-0.1403,-0.1478,Gowth rates,0.9492557510148851
EPS Growth (TTM),-0.0953,-1.101,Gowth rates,0.08655767484105359
Revenue Growth (MRQ),-0.0091,0.0931,Gowth rates,-0.09774436090225565
Revenue Growth (TTM),-0.0011,0.1191,Gowth rates,-0.009235936188077247
Return On Equity (TTM),0.3492,7.2022,Effectiveness,0.04848518508233595
Return On Assets (TTM),0.196,0.0403,Effectiveness,4.863523573200992
Return On Investment (TTM),0.25079999999999997,0.016,Effectiveness,15.674999999999997
Revenue Per Employee (TTM),150618.0,1375304.0,Effectiveness,0.1095161506110649
Total Debt/Total Capital (MRQ),0.1408,0.4855,Financial strength,0.29001029866117406
Change in Debt/Total Capital Quarter over Quarter,0.3607,0.0015,Financial strength,240.46666666666667
Quick Ratio (MRQ),0.63,0.31,Financial strength,2.032258064516129
Interest Coverage (MRQ),66.02,9.55,Financial strength,6.9130890052356015
