,OPRT
% Above Low,0.3995
% Held by Institutions,0.6890999999999999
52-Wk Range,['4.03 - 23.31']
Annual Dividend $,
Annual Dividend %,
Ask,5.65
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,
Bid,5.55
Bid Size,300.0
Closing Price,5.64
Day Change $,-0.46
Day Change %,-0.0754
Day High,6.13
Day Low,5.59
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.62
Ex-dividend Date,No dividend
Historical Volatility,0.775
Last (size),50.0
Last (time),3:59p ET 11/28/22
Market Cap,187.2M
"P/E Ratio (TTM, GAAP)",
Prev Close,6.1
Short Interest,0.060700000000000004
Today's Open,6.07
Volume,120942.0
Volume 10-day Avg,268910.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.11020408163265305
Growth 1yr High Est,-0.1328124999999999
Growth 1yr Consensus Est,-0.12150829081632647
Growth 2yr Low Est,-0.35097360044935405
Growth 2yr High Est,-0.016856700450450457
Growth 2yr Consensus Est,-0.18391515044990225
Growth 5yr Low Est,-0.35097360044935405
Growth 5yr High Est,-0.016856700450450457
Growth 5yr Consensus Est,-0.18391515044990225
Growth 5yr Actual/Est,-1.8637702770375406
Growth 3yr Historic,-1.8013833992094863
Price/Earnings (TTM),
Price/Sales (TTM),0.30784
Price/Book (MRQ),0.36868
Price/Cash Flow (TTM),
5yr Low,4.03
5yr High,27.95
5yr Avg Return,-0.09315
EPS Growth 5yr,0.5670862
Revenue Growth 5yr,0.1635391
Dividend Growth 5yr,
Short Int Current Month,1813617.0
Short Int Prev Month,1599178.0
Short Int Pct of Float,0.060724600000000004
Days to Cover,3.24006
Float,30.27197
Shares Outstanding,33.1927
Institutions Holding Shares,164.0
FCF Growth 5yr,0.48840556098620613
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-0.0707
Net Profit Margin (TTM),-0.0839
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-10.4944
EPS Growth (TTM),-2.1124
Revenue Growth (MRQ),0.0122
Revenue Growth (TTM),0.35740000000000005
Return On Equity (TTM),-0.10400000000000001
Return On Assets (TTM),-0.0187
Return On Investment (TTM),-0.0195
Revenue Per Employee (TTM),241018.0
Total Debt/Total Capital (MRQ),0.8382
Change in Debt/Total Capital Quarter over Quarter,0.0012
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2020-12-03 00:00:00
theStreet since,2020-12-03 00:00:00
ford since,2022-07-22 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
