,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,25.84,24.28,27.95,21.39,,,,,
low,14.22,5.26,15.35,4.03,,,,,
change,0.5159,-0.1996,0.0353,-0.7242000000000001,,,,,
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,131.0,110.0,67.0,176.0,Balance Sheet
"Total Receivables, Net",,,,,21.0,23.0,28.0,31.0,Balance Sheet
Prepaid Expenses,,,,,25.0,26.0,20.0,25.0,Balance Sheet
Total Current Assets,,,,,,,,,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,83.0,45.0,44.0,46.0,Balance Sheet
Accumulated Depreciation,,,,,-34.0,-35.0,-35.0,-36.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,48.0,46.0,43.0,42.0,Balance Sheet
"Goodwill, Net",,,,,104.0,104.0,104.0,0.0,Balance Sheet
Intangibles - Net,,,,,131.0,133.0,137.0,139.0,Balance Sheet
Note Rcvble - Long Term,,,,,2387.0,2451.0,2855.0,2991.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,4.0,4.0,4.0,2.0,Balance Sheet
Restricted Cash - LT,,,,,62.0,61.0,67.0,96.0,Balance Sheet
Other Assets,,,,,33.0,35.0,26.0,38.0,Balance Sheet
"Other Assets, Total",,,,,33.0,35.0,26.0,38.0,Balance Sheet
Total Assets,,,,,2947.0,2993.0,3350.0,3540.0,Balance Sheet
Accounts Payable,,,,,8.0,4.0,6.0,3.0,Balance Sheet
Accrued Expenses,,,,,124.0,95.0,93.0,90.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Income Taxes Payable,,,,,8.0,12.0,10.0,10.0,Balance Sheet
Other Payables,,,,,14.0,17.0,2.0,3.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,22.0,29.0,13.0,13.0,Balance Sheet
Total Current Liabilities,,,,,,,,,Balance Sheet
Total Long Term Debt,,,,,2160.0,2171.0,2556.0,2845.0,Balance Sheet
Total Debt,,,,,2160.0,2171.0,2556.0,2845.0,Balance Sheet
Deferred Income Tax,,,,,28.0,43.0,35.0,40.0,Balance Sheet
Total Liabilities,,,,,2343.0,2343.0,2702.0,2991.0,Balance Sheet
Common Stock,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,526.0,527.0,534.0,541.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,84.0,130.0,120.0,15.0,Balance Sheet
Treasury Stock - Common,,,,,-6.0,-6.0,-6.0,-6.0,Balance Sheet
Total Equity,,,,,604.0,650.0,648.0,549.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,2947.0,2993.0,3350.0,3540.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,32.0,33.0,33.0,33.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,160528.0,205014.0,145214.0,146983.0,Income Statement
Selling/Gen/Admin Expense,,,,,107583.0,109517.0,117652.0,109139.0,Income Statement
Labor & Related Expense,,,,,32054.0,37827.0,40234.0,41735.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,139637.0,147344.0,157886.0,150874.0,Income Statement
Unusual Expense (Income),,,,,,,,108472.0,Income Statement
Total Operating Expense,,,,,139637.0,147344.0,157886.0,259346.0,Income Statement
Total Operating Income,,,,,20891.0,57670.0,-12672.0,-112363.0,Income Statement
Income Before Tax,,,,,20891.0,57670.0,-12672.0,-112363.0,Income Statement
Income Tax - Total,,,,,6725.0,12007.0,-3515.0,-6536.0,Income Statement
Income After Tax,,,,,14166.0,45663.0,-9157.0,-105827.0,Income Statement
Net Inc Before Extra Items,,,,,14166.0,45663.0,-9157.0,-105827.0,Income Statement
Total Net Income,,,,,14166.0,45663.0,-9157.0,-105827.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,14166.0,45663.0,-9157.0,-105827.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,14166.0,45663.0,-9157.0,-105827.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,28820.0,32217.0,32832.0,33010.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,0.49,1.42,-0.28,-3.21,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,0.49,1.42,-0.28,-3.21,Income Statement
Diluted Weighted Average Shares,,,,,28820.0,33323.0,32832.0,33010.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,0.49,1.37,-0.28,-3.21,Income Statement
Diluted EPS Incl. Extra. Items,,,,,0.49,1.37,-0.28,-3.21,Income Statement
Div/Share-ComStockPrimIssue,,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,11428.0,13677.0,17104.0,26671.0,Income Statement
"Depreciat/Amort, Suppl",,,,,1222.0,3297.0,1443.0,1300.0,Income Statement
Total Special Items,,,,,0.0,7287.0,6944.0,116604.0,Income Statement
Normalzd Income Before Tax,,,,,20891.0,64957.0,-5728.0,4241.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,0.0,1517.0,2430.0,40811.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,6725.0,13524.0,-1085.0,34275.0,Income Statement
Normalized Income After Tax,,,,,14166.0,51433.0,-4643.0,-30034.0,Income Statement
Normalzd Inc Avail to Common,,,,,14166.0,51433.0,-4643.0,-30034.0,Income Statement
Basic Normalized EPS,,,,,0.49,1.6,-0.14,-0.91,Income Statement
Diluted Normalized EPS,,,,,0.49,1.54,-0.14,-0.91,Income Statement
