,ASND,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),191.73,45.03,Valuation,4.257828114590273
Price/Book (MRQ),14.09,12.61,Valuation,1.1173671689135607
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.682,0.5874,Profitability,1.1610486891385767
Operating Profit Margin (TTM),-15.8857,-4.7459,Profitability,3.3472470974946797
Net Profit Margin (TTM),-14.524000000000001,-4.5467,Profitability,3.19440473310313
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-1.0767,-0.0014000000000000002,Gowth rates,769.0714285714284
EPS Growth (TTM),-0.1076,0.027200000000000002,Gowth rates,-3.955882352941176
Revenue Growth (MRQ),1.4821000000000002,1.3963999999999999,Gowth rates,1.0613720996849043
Revenue Growth (TTM),8.7117,0.9747,Gowth rates,8.937827023699601
Return On Equity (TTM),-0.6668000000000001,0.1967,Effectiveness,-3.3899339095068632
Return On Assets (TTM),-0.38880000000000003,0.0016,Effectiveness,-243.0
Return On Investment (TTM),-0.4341,0.0219,Effectiveness,-19.82191780821918
Revenue Per Employee (TTM),53968.0,1476201.0,Effectiveness,0.03655870711373316
Total Debt/Total Capital (MRQ),0.5506000000000001,0.4675,Financial strength,1.1777540106951874
Change in Debt/Total Capital Quarter over Quarter,0.0412,0.0036,Financial strength,11.444444444444445
Quick Ratio (MRQ),6.83,2.06,Financial strength,3.3155339805825244
Interest Coverage (MRQ),-5.87,2.69,Financial strength,-2.1821561338289963
