,ASND
% Below High,0.2165
% Held by Institutions,1.1393
52-Wk Range,['61.58 - 147.97']
Annual Dividend $,
Annual Dividend %,
Ask,187.72
Ask Size,200.0
B/A Ratio,2.0
B/A Size,400x200
Beta,0.5
Bid,107.8
Bid Size,400.0
Closing Price,115.94
Day Change $,-2.9
Day Change %,-0.024399999999999998
Day High,120.37
Day Low,115.3
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-8.9
Ex-dividend Date,No dividend
Historical Volatility,0.5760000000000001
Last (size),316.0
Last (time),12:59p ET 11/25/22
Market Cap,6.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,118.84
Short Interest,0.17170000000000002
Today's Open,118.86
Volume,193296.0
Volume 10-day Avg,579407.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.0024630541871920597
Growth 2yr High Est,-0.25087108013937276
Growth 2yr Consensus Est,-0.1266670671632824
Growth 5yr Low Est,-0.0024630541871920597
Growth 5yr High Est,-0.25087108013937276
Growth 5yr Consensus Est,-0.1266670671632824
Growth 5yr Actual/Est,0.22279410731944246
Growth 3yr Historic,0.1675940729859474
Price/Earnings (TTM),
Price/Sales (TTM),191.7255
Price/Book (MRQ),14.08585
Price/Cash Flow (TTM),
5yr Low,35.31
5yr High,183.98
5yr Avg Return,0.29396666666666665
EPS Growth 5yr,
Revenue Growth 5yr,0.11047499999999999
Dividend Growth 5yr,
Short Int Current Month,9761334.0
Short Int Prev Month,10235464.0
Short Int Pct of Float,0.171674
Days to Cover,14.30765
Float,6.0
Shares Outstanding,57.02724
Institutions Holding Shares,234.0
FCF Growth 5yr,0.21488334032677192
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.682
Operating Profit Margin (TTM),-15.8857
Net Profit Margin (TTM),-14.524000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.0767
EPS Growth (TTM),-0.1076
Revenue Growth (MRQ),1.4821000000000002
Revenue Growth (TTM),8.7117
Return On Equity (TTM),-0.6668000000000001
Return On Assets (TTM),-0.38880000000000003
Return On Investment (TTM),-0.4341
Revenue Per Employee (TTM),53968.0
Total Debt/Total Capital (MRQ),0.5506000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0412
Quick Ratio (MRQ),6.83
Interest Coverage (MRQ),-5.87
marketEdge opinion,
marketEdge,rating-box
theStreet,rating-box
researchTeam,rating-box
newConstructs,
cfra,rating-box
marketEdge opinion since,
marketEdge since,2017-06-16 00:00:00
theStreet since,
researchTeam since,
newConstructs since,
cfra since,
