,CSGP
% Below High,0.06309999999999999
% Held by Institutions,0.9825
52-Wk Range,['49.00 - 85.37']
Annual Dividend $,
Annual Dividend %,
Ask,80.39
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,79.57
Bid Size,100.0
Closing Price,79.98
Day Change $,-0.04
Day Change %,-0.0005
Day High,81.01
Day Low,79.35
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.86
Ex-dividend Date,No dividend
Historical Volatility,0.439
Last (size),9900.0
Last (time),12:59p ET 11/25/22
Market Cap,32.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",93.43
Prev Close,80.02
Short Interest,0.0139
Today's Open,80.25
Volume,1208348.0
Volume 10-day Avg,2169616.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.8670212765957447
Growth 1yr High Est,-0.8676470588235294
Growth 1yr Consensus Est,-0.8673341677096371
Growth 2yr Low Est,-0.42151063829787233
Growth 2yr High Est,-0.25128384687208216
Growth 2yr Consensus Est,-0.3363972425849773
Growth 5yr Low Est,-0.22457441462632308
Growth 5yr High Est,-0.13882600303803116
Growth 5yr Consensus Est,-0.18170020883217713
Growth 5yr Actual/Est,0.09664865371986112
Growth 3yr Historic,0.030525846702317255
Price/Earnings (TTM),93.42585
Price/Sales (TTM),15.37312
Price/Book (MRQ),4.84894
Price/Cash Flow (TTM),67.04788
5yr Low,28.31
5yr High,101.05
5yr Avg Return,0.21208333333333335
EPS Growth 5yr,0.23128990000000002
Revenue Growth 5yr,0.1834089
Dividend Growth 5yr,
Short Int Current Month,5607998.0
Short Int Prev Month,6219951.0
Short Int Pct of Float,0.0139355
Days to Cover,2.31298
Float,402.4244
Shares Outstanding,406.6901
Institutions Holding Shares,862.0
FCF Growth 5yr,0.046086022692679585
"Price/Earnings (TTM, GAAP)",93.43
"PEG Ratio (TTM, GAAP)",4.67
Gross Profit Margin (TTM),0.8151
Operating Profit Margin (TTM),0.2194
Net Profit Margin (TTM),0.1597
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1378
EPS Growth (TTM),0.4326
Revenue Growth (MRQ),0.0384
Revenue Growth (TTM),0.1244
Return On Equity (TTM),0.054900000000000004
Return On Assets (TTM),0.0441
Return On Investment (TTM),0.046
Revenue Per Employee (TTM),446192.0
Total Debt/Total Capital (MRQ),0.1285
Change in Debt/Total Capital Quarter over Quarter,-0.0013000000000000002
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-01-28 00:00:00
