,CSGP,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",93.43,75.74,Valuation,1.2335621864272512
Price/Sales (TTM),15.37,5.07,Valuation,3.031558185404339
Price/Book (MRQ),4.85,7.18,Valuation,0.6754874651810585
"PEG Ratio (TTM, GAAP)",4.67,3.68,Valuation,1.2690217391304348
Gross Profit Margin (TTM),0.8151,0.49210000000000004,Profitability,1.6563706563706564
Operating Profit Margin (TTM),0.2194,0.10619999999999999,Profitability,2.0659133709981172
Net Profit Margin (TTM),0.1597,0.055,Profitability,2.903636363636364
Annual Dividend Yield,,0.0074,Dividend,
Dividend Change %,,0.051100000000000007,Dividend,
"Dividend Growth Rate, 3 Years",,0.0489,Dividend,
EPS Growth (MRQ),-0.1378,-18.5673,Gowth rates,0.007421649889860131
EPS Growth (TTM),0.4326,-0.2057,Gowth rates,-2.103062712688381
Revenue Growth (MRQ),0.0384,0.10880000000000001,Gowth rates,0.3529411764705882
Revenue Growth (TTM),0.1244,0.11970000000000001,Gowth rates,1.039264828738513
Return On Equity (TTM),0.054900000000000004,0.1999,Effectiveness,0.2746373186593297
Return On Assets (TTM),0.0441,0.0565,Effectiveness,0.7805309734513274
Return On Investment (TTM),0.046,0.0848,Effectiveness,0.5424528301886792
Revenue Per Employee (TTM),446192.0,417216.0,Effectiveness,1.0694508360177941
Total Debt/Total Capital (MRQ),0.1285,0.4147,Financial strength,0.3098625512418616
Change in Debt/Total Capital Quarter over Quarter,-0.0013000000000000002,0.0070999999999999995,Financial strength,-0.1830985915492958
Quick Ratio (MRQ),,0.09,Financial strength,
Interest Coverage (MRQ),,18.36,Financial strength,
