,AAP
% Above Low,0.030299999999999997
% Held by Institutions,0.9798
52-Wk Range,['145.59 - 244.55']
Annual Dividend $,6.0
Annual Dividend %,0.04
Ask,150.3
Ask Size,500.0
B/A Ratio,0.8
B/A Size,400x500
Beta,1.2
Bid,149.5
Bid Size,400.0
Closing Price,150.0
Day Change $,-0.55
Day Change %,-0.0037
Day High,150.78
Day Low,148.35
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",7.77
Ex-dividend,2022-12-15 00:00:00
Ex-dividend Date,12/15/22
Historical Volatility,0.387
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,8.9B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",19.29
Prev Close,150.55
Short Interest,0.0525
Today's Open,150.76
Volume,579430.0
Volume 10-day Avg,1764984.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-13 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,0.052586938083121426
Growth 1yr High Est,0.09583333333333344
Growth 1yr Consensus Est,0.07421013570822743
Growth 2yr Low Est,-0.072820149008399
Growth 2yr High Est,0.1121752217997466
Growth 2yr Consensus Est,0.019677536395673795
Growth 5yr Low Est,0.08155918842948237
Growth 5yr High Est,0.17288416501175713
Growth 5yr Consensus Est,0.12722167672061974
Growth 5yr Actual/Est,0.1427808191284169
Growth 3yr Historic,0.11288199331677595
Price/Earnings (TTM),19.29447
Price/Sales (TTM),0.80232
Price/Book (MRQ),3.29682
Price/Cash Flow (TTM),11.73707
5yr Low,71.33
5yr High,244.55
5yr Avg Return,0.13713333333333333
EPS Growth 5yr,0.090367
Revenue Growth 5yr,0.0282562
Dividend Growth 5yr,0.6839703
Short Int Current Month,3082173.0
Short Int Prev Month,3096041.0
Short Int Pct of Float,0.052471699999999996
Days to Cover,3.473
Float,58.78215
Shares Outstanding,59.25372
Institutions Holding Shares,892.0
FCF Growth 5yr,-0.7542916923460382
"Price/Earnings (TTM, GAAP)",19.29
"PEG Ratio (TTM, GAAP)",1.54
Gross Profit Margin (TTM),0.4465
Operating Profit Margin (TTM),0.062000000000000006
Net Profit Margin (TTM),0.043
Annual Dividend Yield,0.04
Dividend Change %,2.066
"Dividend Growth Rate, 3 Years",1.3835
EPS Growth (MRQ),-0.22640000000000002
EPS Growth (TTM),-0.21309999999999998
Revenue Growth (MRQ),-0.009000000000000001
Revenue Growth (TTM),0.0102
Return On Equity (TTM),0.1613
Return On Assets (TTM),0.039700000000000006
Return On Investment (TTM),0.0701
Revenue Per Employee (TTM),270194.0
Total Debt/Total Capital (MRQ),0.3358
Change in Debt/Total Capital Quarter over Quarter,0.003
Quick Ratio (MRQ),0.23
Interest Coverage (MRQ),15.3
newConstructs,rating-box
researchTeam,rating-box
cfra,
ford,rating-box
marketEdge opinion,
marketEdge,rating-box
newConstructs since,2022-11-26 00:00:00
researchTeam since,2021-02-05 00:00:00
cfra since,2022-11-16 00:00:00
ford since,2022-04-22 00:00:00
marketEdge opinion since,
marketEdge since,2020-08-19 00:00:00
