,PARR
Price/Earnings (TTM),5.02116
Price/Sales (TTM),0.21348
Price/Book (MRQ),2.64988
Price/Cash Flow (TTM),3.76206
5yr Low,5.72
5yr High,25.69
5yr Avg Return,0.08413333333333334
EPS Growth 5yr,
Revenue Growth 5yr,0.20356059999999998
Dividend Growth 5yr,
Short Int Current Month,3667908.0
Short Int Prev Month,3538720.0
Short Int Pct of Float,0.0624237
Days to Cover,3.578
Float,58.92485
Shares Outstanding,60.31769
Institutions Holding Shares,233.0
% Held by Institutions,0.911486
FCF Growth 5yr,-81.7886728633474
