,PARR
% Below High,0.0611
% Held by Institutions,0.9115000000000001
52-Wk Range,['11.66 - 25.38']
Annual Dividend $,
Annual Dividend %,
Ask,23.86
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,2.1
Bid,23.78
Bid Size,300.0
Day Change $,-0.26
Day Change %,-0.0108
Day High,23.87
Day Low,23.32
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.8
Ex-dividend Date,No dividend
Historical Volatility,0.563
Last (size),28.0
Last (time),10:05a ET 11/28/22
Market Cap,1.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.02
Prev Close,24.09
Price,23.83
Short Interest,0.062400000000000004
Today's Open,23.5
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-4.81767955801105
Growth 1yr High Est,-6.621794871794871
Growth 1yr Consensus Est,-5.719737214902961
Growth 2yr Low Est,-2.80753731880292
Growth 2yr High Est,-3.363919100663684
Growth 2yr Consensus Est,-3.0857282097333023
Growth 5yr Low Est,-2.0761075002845675
Growth 5yr High Est,-2.459092134524853
Growth 5yr Consensus Est,-2.2675998174047107
Growth 5yr Actual/Est,-2.5313846246284424
Growth 3yr Historic,-1.059704453920872
Price/Earnings (TTM),5.02116
Price/Sales (TTM),0.21348
Price/Book (MRQ),2.64988
Price/Cash Flow (TTM),3.76206
5yr Low,5.72
5yr High,25.69
5yr Avg Return,0.08413333333333334
EPS Growth 5yr,
Revenue Growth 5yr,0.20356059999999998
Dividend Growth 5yr,
Short Int Current Month,3667908.0
Short Int Prev Month,3538720.0
Short Int Pct of Float,0.0624237
Days to Cover,3.578
Float,58.92485
Shares Outstanding,60.31769
Institutions Holding Shares,233.0
FCF Growth 5yr,-81.7886728633474
"Price/Earnings (TTM, GAAP)",5.02
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.0764
Operating Profit Margin (TTM),0.052199999999999996
Net Profit Margin (TTM),0.0422
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.7874
EPS Growth (TTM),2.1748
Revenue Growth (MRQ),-0.023799999999999998
Revenue Growth (TTM),0.6472
Return On Equity (TTM),0.7184999999999999
Return On Assets (TTM),0.10220000000000001
Return On Investment (TTM),0.2202
Revenue Per Employee (TTM),5094630.0
Total Debt/Total Capital (MRQ),0.48560000000000003
Change in Debt/Total Capital Quarter over Quarter,-0.0027
Quick Ratio (MRQ),0.48
Interest Coverage (MRQ),22.26
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford since,2022-11-18 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,
researchTeam since,
newConstructs since,
