,SEER,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,83.95,Valuation,
Price/Sales (TTM),29.0,6.06,Valuation,4.785478547854786
Price/Book (MRQ),0.88,6.22,Valuation,0.1414790996784566
"PEG Ratio (TTM, GAAP)",,3.53,Valuation,
Gross Profit Margin (TTM),0.4465,0.5095000000000001,Profitability,0.8763493621197251
Operating Profit Margin (TTM),-6.6046000000000005,0.0332,Profitability,-198.93373493975903
Net Profit Margin (TTM),-6.4627,-0.0454,Profitability,142.35022026431716
Annual Dividend Yield,,0.0022,Dividend,
Dividend Change %,,0.0891,Dividend,
"Dividend Growth Rate, 3 Years",,0.0714,Dividend,
EPS Growth (MRQ),-0.0483,-0.5094,Gowth rates,0.09481743227326267
EPS Growth (TTM),-0.3594,-0.2377,Gowth rates,1.5119899032393773
Revenue Growth (MRQ),0.0922,0.1691,Gowth rates,0.5452395032525134
Revenue Growth (TTM),2.5899,0.1222,Gowth rates,21.193944353518823
Return On Equity (TTM),-0.18539999999999998,1.1042,Effectiveness,-0.1679043651512407
Return On Assets (TTM),-0.1754,0.0644,Effectiveness,-2.7236024844720497
Return On Investment (TTM),-0.1795,0.0802,Effectiveness,-2.2381546134663344
Revenue Per Employee (TTM),118254.0,335561.0,Effectiveness,0.35240686492172807
Total Debt/Total Capital (MRQ),0.0,0.3893,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0252,Financial strength,
Quick Ratio (MRQ),32.65,1.51,Financial strength,21.62251655629139
Interest Coverage (MRQ),,33.07,Financial strength,
