,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,86.13,86.55,23.75,,,,,
low,44.0,19.92,5.83,,,,,
change,0.1696,-0.5962,-0.731,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,233.0,225.0,79.0,68.0,Balance Sheet
Short Term Investments,,,,167.0,220.0,372.0,368.0,Balance Sheet
Cash and Short Term Invs,,,,400.0,445.0,451.0,436.0,Balance Sheet
"Total Receivables, Net",,,,4.0,4.0,5.0,6.0,Balance Sheet
Invent. - Finished Goods,,,,2.0,1.0,4.0,3.0,Balance Sheet
Invent. - Work In Progress,,,,0.0,0.0,0.0,0.0,Balance Sheet
Invent. - Raw Materials,,,,2.0,2.0,3.0,3.0,Balance Sheet
Total Inventory,,,,4.0,4.0,7.0,6.0,Balance Sheet
Prepaid Expenses,,,,3.0,4.0,4.0,2.0,Balance Sheet
Total Current Assets,,,,412.0,457.0,467.0,450.0,Balance Sheet
Buildings,,,,2.0,3.0,3.0,3.0,Balance Sheet
Machinery/Equipment,,,,14.0,15.0,18.0,19.0,Balance Sheet
Construction in Progress,,,,1.0,0.0,0.0,0.0,Balance Sheet
Other Prop./Plant/Equip.,,,,21.0,29.0,29.0,28.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,38.0,48.0,50.0,50.0,Balance Sheet
Accumulated Depreciation,,,,-5.0,-6.0,-6.0,-7.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,33.0,42.0,43.0,44.0,Balance Sheet
Long Term Investments,,,,93.0,27.0,5.0,5.0,Balance Sheet
Other Long Term Assets,,,,1.0,0.0,1.0,1.0,Balance Sheet
Total Assets,,,,539.0,527.0,516.0,500.0,Balance Sheet
Accounts Payable,,,,4.0,3.0,4.0,4.0,Balance Sheet
Accrued Expenses,,,,9.0,7.0,10.0,9.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,,0.0,0.0,0.0,0.0,Balance Sheet
Other Current Liabilities,,,,0.0,,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,,0.0,0.0,1.0,1.0,Balance Sheet
Total Current Liabilities,,,,13.0,11.0,15.0,14.0,Balance Sheet
Total Long Term Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,,23.0,29.0,29.0,29.0,Balance Sheet
Total Liabilities,,,,36.0,41.0,44.0,42.0,Balance Sheet
Redeemable Preferred Stock,,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,630.0,639.0,648.0,657.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,-127.0,-150.0,-173.0,-197.0,Balance Sheet
"Other Equity, Total",,,,-1.0,-2.0,-3.0,-3.0,Balance Sheet
Total Equity,,,,503.0,486.0,472.0,458.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,539.0,527.0,516.0,500.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,57.0,58.0,59.0,59.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,,5.0,4.0,4.0,4.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,62.0,62.0,63.0,63.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,3066.0,3312.0,3621.0,3955.0,Income Statement
"Cost of Revenue, Total",,,,1633.0,2068.0,2012.0,2010.0,Income Statement
Selling/Gen/Admin Expense,,,,8163.0,8445.0,8464.0,9068.0,Income Statement
Labor & Related Expense,,,,4929.0,5853.0,5708.0,6379.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,13092.0,14298.0,14172.0,15447.0,Income Statement
Research & Development,,,,8215.0,10732.0,10871.0,11564.0,Income Statement
Total Operating Expense,,,,22940.0,27098.0,27055.0,29021.0,Income Statement
Total Operating Income,,,,-19874.0,-23786.0,-23434.0,-25066.0,Income Statement
"Inter Expse,Net Non-Operat",,,,-22.0,,,,Income Statement
"Inter/Invest Inc, Non-Oper",,,,157.0,144.0,676.0,1285.0,Income Statement
OtherNon-OperatInc (Expnse),,,,0.0,-4.0,-57.0,-199.0,Income Statement
"Other, Net",,,,0.0,-4.0,-57.0,-199.0,Income Statement
Income Before Tax,,,,-19739.0,-23646.0,-22815.0,-23980.0,Income Statement
Income After Tax,,,,-19739.0,-23646.0,-22815.0,-23980.0,Income Statement
Net Inc Before Extra Items,,,,-19739.0,-23646.0,-22815.0,-23980.0,Income Statement
Total Net Income,,,,-19739.0,-23646.0,-22815.0,-23980.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,-19739.0,-23646.0,-22815.0,-23980.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,-19739.0,-23646.0,-22815.0,-23980.0,Income Statement
Basic/Primary Weighted Average Shares,,,,61579.0,62226.0,62377.0,62539.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,-0.32,-0.38,-0.37,-0.38,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,-0.32,-0.38,-0.37,-0.38,Income Statement
Diluted Weighted Average Shares,,,,61579.0,62226.0,62377.0,62539.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,-0.32,-0.38,-0.37,-0.38,Income Statement
Diluted EPS Incl. Extra. Items,,,,-0.32,-0.38,-0.37,-0.38,Income Statement
Div/Share-ComStockPrimIssue,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,22.0,,,,Income Statement
"Depreciat/Amort, Suppl",,,,900.0,900.0,901.0,1063.0,Income Statement
Normalzd Income Before Tax,,,,-19739.0,-23646.0,-22815.0,-23980.0,Income Statement
Normalized Income After Tax,,,,-19739.0,-23646.0,-22815.0,-23980.0,Income Statement
Normalzd Inc Avail to Common,,,,-19739.0,-23646.0,-22815.0,-23980.0,Income Statement
Basic Normalized EPS,,,,-0.32,-0.38,-0.37,-0.38,Income Statement
Diluted Normalized EPS,,,,-0.32,-0.38,-0.37,-0.38,Income Statement
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,-71169.0,-23646.0,-46461.0,-70441.0,Cash Flow
Depreciation/Depletion,,,,2558.0,875.0,1776.0,2839.0,Cash Flow
Unusual Items,,,,,,,261.0,Cash Flow
Other Non-Cash Items,,,,28129.0,8927.0,17883.0,27317.0,Cash Flow
Non-Cash Items,,,,28129.0,8927.0,17883.0,27578.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,-645.0,,,,Cash Flow
Accounts Receivable,,,,-3882.0,-315.0,-1038.0,-2234.0,Cash Flow
Inventories,,,,-3594.0,300.0,-3002.0,-2372.0,Cash Flow
Prepaid Expenses,,,,-2884.0,-2850.0,-2176.0,-742.0,Cash Flow
Other Assets,,,,-94.0,11.0,-295.0,-294.0,Cash Flow
Accounts Payable,,,,1603.0,-479.0,530.0,-443.0,Cash Flow
Accrued Expenses,,,,2904.0,-2038.0,-466.0,-190.0,Cash Flow
Changes in Working Capital,,,,-5865.0,-5307.0,-6349.0,-6500.0,Cash Flow
Total Cash from Operations,,,,-46347.0,-19151.0,-33151.0,-46524.0,Cash Flow
Capital Expenditures,,,,-6922.0,-1080.0,-2606.0,-5292.0,Cash Flow
Sale of Fixed Assets,,,,,,,170.0,Cash Flow
Sale/Maturity of Investment,,,,116000.0,12000.0,24000.0,87863.0,Cash Flow
Purchase of Investments,,,,-279956.0,0.0,-143651.0,-202748.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,-163956.0,12000.0,-119651.0,-114715.0,Cash Flow
Total Cash from Investing,,,,-170878.0,10920.0,-122257.0,-120007.0,Cash Flow
Financing Cash Flow Items,,,,11403.0,0.0,0.0,0.0,Cash Flow
Sale/Issuance of Common,,,,103381.0,0.0,420.0,420.0,Cash Flow
Repurch/Retirement Common,,,,-35.0,-21.0,-20.0,-20.0,Cash Flow
"Common Stock, Net",,,,103346.0,-21.0,400.0,400.0,Cash Flow
"Preferred Stock, Net",,,,0.0,,,,Cash Flow
Options Exercised,,,,1885.0,773.0,1218.0,1387.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,105231.0,752.0,1618.0,1787.0,Cash Flow
Total Cash From Financing,,,,116634.0,752.0,1618.0,1787.0,Cash Flow
Net Change in Cash,,,,-100591.0,-7479.0,-153790.0,-164744.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,333928.0,233337.0,233337.0,233337.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,233337.0,225858.0,79547.0,68593.0,Cash Flow
"Depreciation, Supplemental",,,,2558.0,875.0,1776.0,2839.0,Cash Flow
Free Cash Flow,,,,-53269.0,-20231.0,-35757.0,-51816.0,
FCF Growth,,,,,-0.6202106290713173,0.7674361128960505,0.4491148586290796,
