,SEER
% Above Low,0.048
% Held by Institutions,0.8606
52-Wk Range,['5.83 - 27.84']
Annual Dividend $,
Annual Dividend %,
Ask,6.14
Ask Size,200.0
B/A Ratio,2.5
B/A Size,500x200
Beta,
Bid,6.11
Bid Size,500.0
Day Change $,-0.35
Day Change %,-0.0542
Day High,6.48
Day Low,6.07
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.45
Ex-dividend Date,No dividend
Historical Volatility,1.033
Last (size),100.0
Last (time),1:54p ET 11/28/22
Market Cap,382.7M
"P/E Ratio (TTM, GAAP)",
Prev Close,6.46
Price,6.11
Short Interest,0.057699999999999994
Today's Open,6.35
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.3223140495867769
Growth 1yr High Est,0.2991452991452992
Growth 1yr Consensus Est,0.31072967436603804
Growth 2yr Low Est,0.3049070247933884
Growth 2yr High Est,0.15944107062528123
Growth 2yr Consensus Est,0.2321740477093348
Growth 5yr Low Est,0.3049070247933884
Growth 5yr High Est,0.15944107062528123
Growth 5yr Consensus Est,0.2321740477093348
Growth 5yr Actual/Est,-0.028639371381306827
Growth 3yr Historic,-0.17607526881720434
Price/Earnings (TTM),
Price/Sales (TTM),28.99989
Price/Book (MRQ),0.88393
Price/Cash Flow (TTM),
5yr Low,5.83
5yr High,86.55
5yr Avg Return,-0.38586666666666664
Short Int Current Month,3158893.0
Short Int Prev Month,3209539.0
Short Int Pct of Float,0.057662000000000005
Days to Cover,10.70075
Float,50.89064
Shares Outstanding,62.64157
Institutions Holding Shares,149.0
FCF Growth 5yr,0.19878011415127095
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4465
Operating Profit Margin (TTM),-6.6046000000000005
Net Profit Margin (TTM),-6.4627
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0483
EPS Growth (TTM),-0.3594
Revenue Growth (MRQ),0.0922
Revenue Growth (TTM),2.5899
Return On Equity (TTM),-0.18539999999999998
Return On Assets (TTM),-0.1754
Return On Investment (TTM),-0.1795
Revenue Per Employee (TTM),118254.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),32.65
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-03-02 00:00:00
theStreet since,2022-03-02 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
