,COLB,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",11.85,11.43,Valuation,1.036745406824147
Price/Sales (TTM),3.81,3.3,Valuation,1.1545454545454545
Price/Book (MRQ),1.26,1.46,Valuation,0.863013698630137
"PEG Ratio (TTM, GAAP)",,1.15,Valuation,
Gross Profit Margin (TTM),,0.0072,Profitability,
Operating Profit Margin (TTM),0.40840000000000004,0.34240000000000004,Profitability,1.1927570093457944
Net Profit Margin (TTM),0.3195,0.2812,Profitability,1.1362019914651493
Annual Dividend Yield,0.0353,0.028700000000000003,Dividend,1.229965156794425
Dividend Change %,0.0179,-0.0086,Dividend,-2.081395348837209
"Dividend Growth Rate, 3 Years",0.0446,0.0734,Dividend,0.6076294277929155
EPS Growth (MRQ),0.1026,-0.0335,Gowth rates,-3.062686567164179
EPS Growth (TTM),-0.0635,-0.09960000000000001,Gowth rates,0.6375502008032128
Revenue Growth (MRQ),0.11599999999999999,0.5429,Gowth rates,0.21366734205194324
Revenue Growth (TTM),0.17850000000000002,0.2466,Gowth rates,0.7238442822384429
Return On Equity (TTM),0.10099999999999999,0.1135,Effectiveness,0.8898678414096916
Return On Assets (TTM),0.0115,0.0099,Effectiveness,1.1616161616161615
Return On Investment (TTM),,-0.0004,Effectiveness,
Revenue Per Employee (TTM),,7475.75,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0086,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,-0.0016,0.0009,Financial strength,-1.777777777777778
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
