,COLB
% Below High,0.0973
% Held by Institutions,1.0786
52-Wk Range,['26.97 - 37.66']
Annual Dividend $,1.2
Annual Dividend %,0.0353
Ask,38.46
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.7
Bid,30.22
Bid Size,100.0
Closing Price,33.99
Day Change $,0.23
Day Change %,0.0068000000000000005
Day High,34.1
Day Low,33.74
Dividend Pay Date,2022-10-28 00:00:00
"EPS (TTM, GAAP)",2.87
Ex-dividend,2022-10-14 00:00:00
Ex-dividend Date,10/14/22
Historical Volatility,0.32299999999999995
Last (size),37.0
Last (time),12:59p ET 11/25/22
Market Cap,2.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.85
Prev Close,33.76
Short Interest,0.1414
Today's Open,33.94
Volume,534881.0
Volume 10-day Avg,717486.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-18 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-1.05
Growth 1yr High Est,0.15248226950354615
Growth 1yr Consensus Est,-0.44875886524822695
Growth 2yr Low Est,-11.203571428571427
Growth 2yr High Est,0.18085651936715774
Growth 2yr Consensus Est,-5.511357454602135
Growth 5yr Low Est,-5.587634770889487
Growth 5yr High Est,0.1005758611595936
Growth 5yr Consensus Est,-2.743529454864947
Growth 5yr Actual/Est,0.1440225807596992
Growth 3yr Historic,0.02270187083018088
Price/Earnings (TTM),11.84804
Price/Sales (TTM),3.80948
Price/Book (MRQ),1.26364
Price/Cash Flow (TTM),9.83008
5yr Low,19.11
5yr High,50.68
5yr Avg Return,-0.0385
EPS Growth 5yr,0.0899523
Revenue Growth 5yr,0.0966502
Dividend Growth 5yr,0.08164020000000001
Short Int Current Month,11055285.0
Short Int Prev Month,11528407.0
Short Int Pct of Float,0.1413839
Days to Cover,13.23798
Float,78.23623
Shares Outstanding,78.64612
Institutions Holding Shares,321.0
FCF Growth 5yr,0.42502963413360845
"Price/Earnings (TTM, GAAP)",11.85
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.40840000000000004
Net Profit Margin (TTM),0.3195
Annual Dividend Yield,0.0353
Dividend Change %,0.0179
"Dividend Growth Rate, 3 Years",0.0446
EPS Growth (MRQ),0.1026
EPS Growth (TTM),-0.0635
Revenue Growth (MRQ),0.11599999999999999
Revenue Growth (TTM),0.17850000000000002
Return On Equity (TTM),0.10099999999999999
Return On Assets (TTM),0.0115
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0016
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-18 00:00:00
ford since,2022-11-18 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2020-11-18 00:00:00
