,BK
Price/Earnings (TTM),13.91424
Price/Sales (TTM),2.24075
Price/Book (MRQ),1.05774
Price/Cash Flow (TTM),8.4202
5yr Low,26.4
5yr High,64.63
5yr Avg Return,-0.0058000000000000005
EPS Growth 5yr,0.0566988
Revenue Growth 5yr,-0.0446528
Dividend Growth 5yr,0.1254395
Short Int Current Month,5750598.0
Short Int Prev Month,5989759.0
Short Int Pct of Float,0.0071321
Days to Cover,1.11156
Float,806.9377
Shares Outstanding,808.28
Institutions Holding Shares,1383.0
% Held by Institutions,0.832055
FCF Growth 5yr,0.9379248946350914
