,BK
% Above Low,0.2609
% Held by Institutions,0.8321
52-Wk Range,['36.22 - 64.63']
Annual Dividend $,1.48
Annual Dividend %,0.032400000000000005
Ask,50.91
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.1
Bid,42.15
Bid Size,100.0
Closing Price,45.67
Day Change $,0.18
Day Change %,0.004
Day High,45.85
Day Low,45.4
Dividend Pay Date,2022-11-10 00:00:00
"EPS (TTM, GAAP)",3.28
Ex-dividend,2022-10-26 00:00:00
Ex-dividend Date,10/26/22
Historical Volatility,0.316
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,36.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.91
Prev Close,45.49
Short Interest,0.0070999999999999995
Today's Open,45.52
Volume,1146691.0
Volume 10-day Avg,4347026.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-13 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.1760391198044009
Growth 1yr High Est,0.006993006993007089
Growth 1yr Consensus Est,-0.0845230564056969
Growth 2yr Low Est,0.017321686388600765
Growth 2yr High Est,0.09377428127428122
Growth 2yr Consensus Est,0.055547983831440995
Growth 5yr Low Est,0.017974859544511362
Growth 5yr High Est,0.062357437666843596
Growth 5yr Consensus Est,0.04016614860567748
Growth 5yr Actual/Est,0.050735328162625964
Growth 3yr Historic,0.009976613193384692
Price/Earnings (TTM),13.91424
Price/Sales (TTM),2.24075
Price/Book (MRQ),1.05774
Price/Cash Flow (TTM),8.4202
5yr Low,26.4
5yr High,64.63
5yr Avg Return,-0.0058000000000000005
EPS Growth 5yr,0.0566988
Revenue Growth 5yr,-0.0446528
Dividend Growth 5yr,0.1254395
Short Int Current Month,5750598.0
Short Int Prev Month,5989759.0
Short Int Pct of Float,0.0071321
Days to Cover,1.11156
Float,806.9377
Shares Outstanding,808.28
Institutions Holding Shares,1383.0
FCF Growth 5yr,0.9379248946350914
"Price/Earnings (TTM, GAAP)",13.91
"PEG Ratio (TTM, GAAP)",2.26
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.22510000000000002
Net Profit Margin (TTM),0.1752
Annual Dividend Yield,0.032400000000000005
Dividend Change %,0.0484
"Dividend Growth Rate, 3 Years",0.0772
EPS Growth (MRQ),-0.6184000000000001
EPS Growth (TTM),-0.1637
Revenue Growth (MRQ),0.7118000000000001
Revenue Growth (TTM),0.6079
Return On Equity (TTM),0.0723
Return On Assets (TTM),0.0064
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0015
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-08-13 00:00:00
cfra since,2019-07-17 00:00:00
ford since,2022-03-25 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2020-12-02 00:00:00
