,SLGC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,83.95,Valuation,
Price/Sales (TTM),5.25,6.06,Valuation,0.8663366336633664
Price/Book (MRQ),0.89,6.22,Valuation,0.14308681672025725
"PEG Ratio (TTM, GAAP)",,3.53,Valuation,
Gross Profit Margin (TTM),0.5987,0.5095000000000001,Profitability,1.1750736015701666
Operating Profit Margin (TTM),-1.4694999999999998,0.0332,Profitability,-44.262048192771076
Net Profit Margin (TTM),-0.8172,-0.0454,Profitability,18.0
Annual Dividend Yield,,0.0022,Dividend,
Dividend Change %,,0.0891,Dividend,
"Dividend Growth Rate, 3 Years",,0.0714,Dividend,
EPS Growth (MRQ),-0.42340000000000005,-0.5094,Gowth rates,0.8311739301138596
EPS Growth (TTM),-0.1232,-0.2377,Gowth rates,0.5183003786285234
Revenue Growth (MRQ),1.9491999999999998,0.1691,Gowth rates,11.52690715552927
Revenue Growth (TTM),0.1724,0.1222,Gowth rates,1.4108019639934533
Return On Equity (TTM),-0.1355,1.1042,Effectiveness,-0.12271327658032966
Return On Assets (TTM),-0.1183,0.0644,Effectiveness,-1.8369565217391306
Return On Investment (TTM),-0.12400000000000001,0.0802,Effectiveness,-1.5461346633416462
Revenue Per Employee (TTM),318222.0,335561.0,Effectiveness,0.948328321825242
Total Debt/Total Capital (MRQ),0.0,0.3893,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0252,Financial strength,
Quick Ratio (MRQ),14.12,1.51,Financial strength,9.350993377483443
Interest Coverage (MRQ),,33.07,Financial strength,
