,SLGC
% Above Low,0.013300000000000001
% Held by Institutions,0.6627
52-Wk Range,['2.63 - 13.25']
Annual Dividend $,
Annual Dividend %,
Ask,2.67
Ask Size,1700.0
B/A Ratio,0.5294117647058824
B/A Size,900x1700
Beta,
Bid,2.66
Bid Size,900.0
Day Change $,-0.19
Day Change %,-0.0667
Day High,2.92
Day Low,2.65
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.45
Ex-dividend Date,No dividend
Historical Volatility,0.766
Last (size),100.0
Last (time),2:34p ET 11/28/22
Market Cap,498.8M
"P/E Ratio (TTM, GAAP)",
Prev Close,2.85
Price,2.66
Short Interest,0.06309999999999999
Today's Open,2.85
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-28 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.3275862068965518
Growth 2yr High Est,-0.12244897959183676
Growth 2yr Consensus Est,0.10256861365235753
Growth 5yr Low Est,0.3275862068965518
Growth 5yr High Est,-0.12244897959183676
Growth 5yr Consensus Est,0.10256861365235753
Growth 5yr Actual/Est,-0.05034722222222232
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),5.24839
Price/Book (MRQ),0.88666
Price/Cash Flow (TTM),
5yr Low,2.63
5yr High,14.72
5yr Avg Return,-0.47204999999999997
Short Int Current Month,9447162.0
Short Int Prev Month,9489680.0
Short Int Pct of Float,0.0631476
Days to Cover,6.5382
Float,162.0901
Shares Outstanding,187.526
Institutions Holding Shares,158.0
FCF Growth 5yr,1.7625481187537766
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5987
Operating Profit Margin (TTM),-1.4694999999999998
Net Profit Margin (TTM),-0.8172
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.42340000000000005
EPS Growth (TTM),-0.1232
Revenue Growth (MRQ),1.9491999999999998
Revenue Growth (TTM),0.1724
Return On Equity (TTM),-0.1355
Return On Assets (TTM),-0.1183
Return On Investment (TTM),-0.12400000000000001
Revenue Per Employee (TTM),318222.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),14.12
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-15 00:00:00
theStreet since,2022-11-15 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
