,AXTA
% Above Low,0.2972
% Held by Institutions,1.0189
52-Wk Range,['20.66 - 34.12']
Annual Dividend $,
Annual Dividend %,
Ask,28.75
Ask Size,700.0
B/A Ratio,0.2857142857142857
B/A Size,200x700
Beta,1.4
Bid,10.7
Bid Size,200.0
Closing Price,26.8
Day Change $,0.05
Day Change %,0.0019
Day High,26.82
Day Low,26.55
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.9
Ex-dividend Date,No dividend
Historical Volatility,0.375
Last (size),34300.0
Last (time),5:00p ET 11/25/22
Market Cap,5.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",29.83
Prev Close,26.75
Short Interest,0.024900000000000002
Today's Open,26.62
Volume,427399.0
Volume 10-day Avg,1867945.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-30 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.1393939393939394
Growth 1yr High Est,-0.16666666666666674
Growth 1yr Consensus Est,-0.15303030303030307
Growth 2yr Low Est,-0.041527955612462586
Growth 2yr High Est,0.09999999999999987
Growth 2yr Consensus Est,0.02923602219376864
Growth 5yr Low Est,-0.03504969209194558
Growth 5yr High Est,0.04064171122994645
Growth 5yr Consensus Est,0.002796009569000432
Growth 5yr Actual/Est,0.020277062690631342
Growth 3yr Historic,-0.0013680033416875736
Price/Earnings (TTM),29.83446
Price/Sales (TTM),1.23562
Price/Book (MRQ),4.64312
Price/Cash Flow (TTM),11.52499
5yr Low,12.92
5yr High,38.2
5yr Avg Return,-0.025616666666666666
EPS Growth 5yr,0.4827894
Revenue Growth 5yr,0.0153313
Dividend Growth 5yr,
Short Int Current Month,5463698.0
Short Int Prev Month,5535407.0
Short Int Pct of Float,0.0249424
Days to Cover,2.61835
Float,219.0704
Shares Outstanding,220.6089
Institutions Holding Shares,383.0
FCF Growth 5yr,-0.4755864308061893
"Price/Earnings (TTM, GAAP)",29.83
"PEG Ratio (TTM, GAAP)",2.97
Gross Profit Margin (TTM),0.2884
Operating Profit Margin (TTM),0.0853
Net Profit Margin (TTM),0.0422
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.41619999999999996
EPS Growth (TTM),-0.2518
Revenue Growth (MRQ),0.0031
Revenue Growth (TTM),0.09910000000000001
Return On Equity (TTM),0.14830000000000002
Return On Assets (TTM),0.028700000000000003
Return On Investment (TTM),0.0356
Revenue Per Employee (TTM),368069.0
Total Debt/Total Capital (MRQ),0.7387
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),1.36
Interest Coverage (MRQ),3.23
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-04-29 00:00:00
ford since,2022-04-29 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-03-22 00:00:00
