,AXTA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",29.83,20.13,Valuation,1.4818678589170393
Price/Sales (TTM),1.24,3.27,Valuation,0.37920489296636084
Price/Book (MRQ),4.64,5.58,Valuation,0.8315412186379928
"PEG Ratio (TTM, GAAP)",2.97,0.12,Valuation,24.750000000000004
Gross Profit Margin (TTM),0.2884,0.3453,Profitability,0.8352157544164495
Operating Profit Margin (TTM),0.0853,0.0535,Profitability,1.594392523364486
Net Profit Margin (TTM),0.0422,0.0204,Profitability,2.068627450980392
Annual Dividend Yield,,0.0188,Dividend,
Dividend Change %,,0.102,Dividend,
"Dividend Growth Rate, 3 Years",,0.06910000000000001,Dividend,
EPS Growth (MRQ),0.41619999999999996,-0.6111,Gowth rates,-0.6810669284896088
EPS Growth (TTM),-0.2518,1.725,Gowth rates,-0.14597101449275363
Revenue Growth (MRQ),0.0031,0.212,Gowth rates,0.014622641509433962
Revenue Growth (TTM),0.09910000000000001,0.23420000000000002,Gowth rates,0.42314261315115287
Return On Equity (TTM),0.14830000000000002,0.2206,Effectiveness,0.6722574796010881
Return On Assets (TTM),0.028700000000000003,0.06420000000000001,Effectiveness,0.4470404984423676
Return On Investment (TTM),0.0356,0.08410000000000001,Effectiveness,0.42330558858501777
Revenue Per Employee (TTM),368069.0,817013.0,Effectiveness,0.45050568350809594
Total Debt/Total Capital (MRQ),0.7387,0.4105,Financial strength,1.7995127892813643
Change in Debt/Total Capital Quarter over Quarter,0.0003,0.001,Financial strength,0.3
Quick Ratio (MRQ),1.36,1.18,Financial strength,1.152542372881356
Interest Coverage (MRQ),3.23,26.2,Financial strength,0.12328244274809161
