,PKI
% Above Low,0.19530000000000003
% Held by Institutions,0.8721
52-Wk Range,['113.46 - 203.16']
Annual Dividend $,0.28
Annual Dividend %,0.002
Ask,135.74
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.1
Bid,135.46
Bid Size,200.0
Day Change $,-1.32
Day Change %,-0.0096
Day High,139.04
Day Low,135.44
Dividend Pay Date,2023-02-10 00:00:00
"EPS (TTM, GAAP)",4.78
Ex-dividend,2023-01-19 00:00:00
Ex-dividend Date,01/19/23
Historical Volatility,0.378
Last (size),100.0
Last (time),10:55a ET 11/28/22
Market Cap,17.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",28.64
Prev Close,136.93
Price,135.62
Short Interest,0.0381
Today's Open,137.55
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.2687673772011121
Growth 1yr High Est,-0.30000000000000004
Growth 1yr Consensus Est,-0.2843836886005561
Growth 2yr Low Est,-0.3016840688286929
Growth 2yr High Est,-0.2106826801517067
Growth 2yr Consensus Est,-0.2561833744901998
Growth 5yr Low Est,0.2635668325807275
Growth 5yr High Est,0.33536770637891444
Growth 5yr Consensus Est,0.299467269479821
Growth 5yr Actual/Est,0.212923482251211
Growth 3yr Historic,0.348266235674405
Price/Earnings (TTM),28.63949
Price/Sales (TTM),4.39561
Price/Book (MRQ),2.44633
Price/Cash Flow (TTM),16.09528
5yr Low,62.91
5yr High,203.16
5yr Avg Return,0.14145000000000002
EPS Growth 5yr,0.3282701
Revenue Growth 5yr,0.1908849
Dividend Growth 5yr,0.0
Short Int Current Month,4803884.0
Short Int Prev Month,5011586.0
Short Int Pct of Float,0.0381119
Days to Cover,3.79699
Float,126.0542
Shares Outstanding,126.3159
Institutions Holding Shares,822.0
FCF Growth 5yr,-0.01615092334728459
"Price/Earnings (TTM, GAAP)",28.64
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5852
Operating Profit Margin (TTM),0.23260000000000003
Net Profit Margin (TTM),0.15380000000000002
Annual Dividend Yield,0.002
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-0.5882000000000001
EPS Growth (TTM),-0.5159
Revenue Growth (MRQ),0.18760000000000002
Revenue Growth (TTM),-0.172
Return On Equity (TTM),0.08630000000000002
Return On Assets (TTM),0.0422
Return On Investment (TTM),0.0464
Revenue Per Employee (TTM),235625.0
Total Debt/Total Capital (MRQ),0.3839
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001
Quick Ratio (MRQ),1.84
Interest Coverage (MRQ),5.08
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-02-02 00:00:00
theStreet since,2022-09-26 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-02-02 00:00:00
ford since,2022-11-25 00:00:00
marketEdge opinion since,
