,PKI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",28.64,83.95,Valuation,0.34115544967242406
Price/Sales (TTM),4.4,6.06,Valuation,0.7260726072607262
Price/Book (MRQ),2.45,6.22,Valuation,0.3938906752411576
"PEG Ratio (TTM, GAAP)",,3.53,Valuation,
Gross Profit Margin (TTM),0.5852,0.5095000000000001,Profitability,1.148577036310108
Operating Profit Margin (TTM),0.23260000000000003,0.0332,Profitability,7.006024096385543
Net Profit Margin (TTM),0.15380000000000002,-0.0454,Profitability,-3.387665198237886
Annual Dividend Yield,0.002,0.0022,Dividend,0.9090909090909091
Dividend Change %,0.0,0.0891,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.0,0.0714,Dividend,0.0
EPS Growth (MRQ),-0.5882000000000001,-0.5094,Gowth rates,1.1546917942677661
EPS Growth (TTM),-0.5159,-0.2377,Gowth rates,2.170382835506942
Revenue Growth (MRQ),0.18760000000000002,0.1691,Gowth rates,1.109402720283856
Revenue Growth (TTM),-0.172,0.1222,Gowth rates,-1.4075286415711945
Return On Equity (TTM),0.08630000000000002,1.1042,Effectiveness,0.07815613113566384
Return On Assets (TTM),0.0422,0.0644,Effectiveness,0.6552795031055901
Return On Investment (TTM),0.0464,0.0802,Effectiveness,0.5785536159600998
Revenue Per Employee (TTM),235625.0,335561.0,Effectiveness,0.7021823155849458
Total Debt/Total Capital (MRQ),0.3839,0.3893,Financial strength,0.9861289493963525
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001,0.0252,Financial strength,-0.027777777777777783
Quick Ratio (MRQ),1.84,1.51,Financial strength,1.218543046357616
Interest Coverage (MRQ),5.08,33.07,Financial strength,0.15361354702146962
