,NE
% Below High,0.1338
% Held by Institutions,0.638
52-Wk Range,['22.01 - 42.08']
Annual Dividend $,
Annual Dividend %,
Ask,36.34
Ask Size,400.0
B/A Ratio,1.0
B/A Size,400x400
Beta,
Bid,35.92
Bid Size,400.0
Change Since Close,-0.11| |(-0.30%)
Closing Price,36.45
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.77
Ex-dividend Date,No dividend
Historical Volatility,0.516
Last (size),5.0
Last (time),5:00p ET 11/25/22
Last Trade,36.34
Market Cap,4.8B
"P/E Ratio (TTM, GAAP)",20.61
Prev Close,36.45
Short Interest,0.0388
Today's Open,
Volume,3944.0
Volume 10-day Avg,1333909.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,1.2321428571428568
Growth 2yr High Est,1.3529411764705883
Growth 2yr Consensus Est,1.2925420168067225
Growth 5yr Low Est,1.2321428571428568
Growth 5yr High Est,1.3529411764705883
Growth 5yr Consensus Est,1.2925420168067225
Growth 5yr Actual/Est,-1.0510663343027282
Growth 3yr Historic,0.0
Price/Earnings (TTM),20.60719
Price/Sales (TTM),4.77185
Price/Book (MRQ),3.07973
Price/Cash Flow (TTM),15.37581
5yr Low,20.34
5yr High,42.08
5yr Avg Return,0.24360000000000004
EPS Growth 5yr,
Revenue Growth 5yr,-0.1810907
Dividend Growth 5yr,
Short Int Current Month,5030322.0
Short Int Prev Month,4623520.0
Short Int Pct of Float,0.038780999999999996
Days to Cover,2.8677
Float,129.6944
Shares Outstanding,130.8407
Institutions Holding Shares,182.0
FCF Growth 5yr,-0.6563295911920921
"Price/Earnings (TTM, GAAP)",20.61
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2349
Operating Profit Margin (TTM),0.20170000000000002
Net Profit Margin (TTM),0.1575
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0851
EPS Growth (TTM),1.2663
Revenue Growth (MRQ),0.1116
Revenue Growth (TTM),0.1858
Return On Equity (TTM),0.10800000000000001
Return On Assets (TTM),0.0703
Return On Investment (TTM),0.0793
Revenue Per Employee (TTM),555241.0
Total Debt/Total Capital (MRQ),0.21910000000000002
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),
Interest Coverage (MRQ),13.41
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-11 00:00:00
theStreet since,2022-11-04 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
