,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,29.06,42.08,,,,,
low,20.34,22.64,,,,,
change,0.012700000000000001,0.47450000000000003,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,194.0,105.0,160.0,422.0,Balance Sheet
"Trade Accts Recvble, Gross",,,200.0,,,,Balance Sheet
Prov. for Doubtful Accts,,,0.0,,,,Balance Sheet
"Trade Accts Recvble, Net",,,206.0,254.0,267.0,274.0,Balance Sheet
Other Receivables,,,16.0,20.0,17.0,,Balance Sheet
"Total Receivables, Net",,,222.0,275.0,284.0,274.0,Balance Sheet
Prepaid Expenses,,,37.0,36.0,32.0,58.0,Balance Sheet
"Other Curr. Assets, Total",,,3.0,2.0,5.0,,Balance Sheet
Total Current Assets,,,456.0,418.0,481.0,755.0,Balance Sheet
Machinery/Equipment,,,1468.0,1501.0,1565.0,,Balance Sheet
Construction in Progress,,,77.0,80.0,48.0,,Balance Sheet
Other Prop./Plant/Equip.,,,28.0,12.0,12.0,1341.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,1573.0,1593.0,1625.0,1341.0,Balance Sheet
Accumulated Depreciation,,,-77.0,-102.0,-128.0,-119.0,Balance Sheet
Prop./Plant/Equip. - Net,,,1496.0,1492.0,1497.0,1222.0,Balance Sheet
Intangibles - Net,,,62.0,48.0,33.0,25.0,Balance Sheet
Long Term Investments,,,,,,299.0,Balance Sheet
Other Long Term Assets,,,60.0,76.0,87.0,85.0,Balance Sheet
Total Assets,,,2073.0,2033.0,2098.0,2386.0,Balance Sheet
Accounts Payable,,,120.0,122.0,136.0,144.0,Balance Sheet
Accrued Expenses,,,62.0,39.0,43.0,36.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,,Balance Sheet
Customer Advances,,,18.0,29.0,27.0,,Balance Sheet
Income Taxes Payable,,,29.0,23.0,24.0,,Balance Sheet
Other Current Liabilities,,,19.0,21.0,18.0,88.0,Balance Sheet
"Other Curr. Lblts, Total",,,66.0,73.0,69.0,88.0,Balance Sheet
Total Current Liabilities,,,248.0,234.0,248.0,269.0,Balance Sheet
Total Long Term Debt,,,216.0,216.0,216.0,434.0,Balance Sheet
Total Debt,,,216.0,216.0,216.0,434.0,Balance Sheet
