,HLX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,669.05,Valuation,
Price/Sales (TTM),1.26,2.16,Valuation,0.5833333333333333
Price/Book (MRQ),0.64,3.21,Valuation,0.19937694704049844
"PEG Ratio (TTM, GAAP)",,45.77,Valuation,
Gross Profit Margin (TTM),0.0184,0.1895,Profitability,0.0970976253298153
Operating Profit Margin (TTM),-0.0883,0.0622,Profitability,-1.419614147909968
Net Profit Margin (TTM),-0.1544,0.011899999999999999,Profitability,-12.974789915966388
Annual Dividend Yield,,0.0131,Dividend,
Dividend Change %,,-0.2443,Dividend,
"Dividend Growth Rate, 3 Years",,-0.21420000000000003,Dividend,
EPS Growth (MRQ),0.3688,0.659,Gowth rates,0.5596358118361153
EPS Growth (TTM),-2.6324,-0.1462,Gowth rates,18.00547195622435
Revenue Growth (MRQ),0.6761,0.3728,Gowth rates,1.8135729613733906
Revenue Growth (TTM),0.13210000000000002,0.2954,Gowth rates,0.44719025050778616
Return On Equity (TTM),-0.0739,0.0775,Effectiveness,-0.9535483870967741
Return On Assets (TTM),-0.0495,0.0348,Effectiveness,-1.4224137931034484
Return On Investment (TTM),-0.056600000000000004,0.1063,Effectiveness,-0.5324553151458138
Revenue Per Employee (TTM),568154.0,673709.0,Effectiveness,0.8433225621150972
Total Debt/Total Capital (MRQ),0.151,0.3983,Financial strength,0.37911122269645997
Change in Debt/Total Capital Quarter over Quarter,-0.0014000000000000002,0.0006,Financial strength,-2.333333333333334
Quick Ratio (MRQ),,1.2,Financial strength,
Interest Coverage (MRQ),2.84,15.83,Financial strength,0.17940619077700568
