,HLX
% Below High,0.1281
% Held by Institutions,0.8593999999999999
52-Wk Range,['2.47 - 7.18']
Annual Dividend $,
Annual Dividend %,
Ask,6.32
Ask Size,300.0
B/A Ratio,5.333333333333333
B/A Size,1600x300
Beta,3.0
Bid,5.82
Bid Size,1600.0
Closing Price,6.26
Day Change $,-0.03
Day Change %,-0.0048
Day High,6.43
Day Low,6.22
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.77
Ex-dividend Date,No dividend
Historical Volatility,0.669
Last (size),12.0
Last (time),5:00p ET 11/25/22
Market Cap,950.4M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,6.29
Short Interest,0.048499999999999995
Today's Open,6.25
Volume,793782.0
Volume 10-day Avg,1371734.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-1.1428571428571428
Growth 2yr High Est,-1.8301886792452828
Growth 2yr Consensus Est,-1.4865229110512128
Growth 5yr Low Est,-1.1428571428571428
Growth 5yr High Est,-1.8301886792452828
Growth 5yr Consensus Est,-1.4865229110512128
Growth 5yr Actual/Est,-1.45130431095706
Growth 3yr Historic,-1.205128205128205
Price/Earnings (TTM),
Price/Sales (TTM),1.26058
Price/Book (MRQ),0.6413
Price/Cash Flow (TTM),44.252
5yr Low,0.99
5yr High,10.89
5yr Avg Return,0.13291666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.0671273
Dividend Growth 5yr,
Short Int Current Month,6915405.0
Short Int Prev Month,7074884.0
Short Int Pct of Float,0.048534600000000004
Days to Cover,3.73267
Float,142.4902
Shares Outstanding,151.8211
Institutions Holding Shares,254.0
FCF Growth 5yr,-0.5283377029389177
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.0184
Operating Profit Margin (TTM),-0.0883
Net Profit Margin (TTM),-0.1544
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.3688
EPS Growth (TTM),-2.6324
Revenue Growth (MRQ),0.6761
Revenue Growth (TTM),0.13210000000000002
Return On Equity (TTM),-0.0739
Return On Assets (TTM),-0.0495
Return On Investment (TTM),-0.056600000000000004
Revenue Per Employee (TTM),568154.0
Total Debt/Total Capital (MRQ),0.151
Change in Debt/Total Capital Quarter over Quarter,-0.0014000000000000002
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.84
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-10-31 00:00:00
researchTeam since,2022-10-31 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-04-29 00:00:00
cfra since,
marketEdge opinion since,
