,JELD,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",16.93,13.91,Valuation,1.2171099928109275
Price/Sales (TTM),0.16,1.88,Valuation,0.08510638297872342
Price/Book (MRQ),1.33,3.87,Valuation,0.34366925064599485
"PEG Ratio (TTM, GAAP)",,0.02,Valuation,
Gross Profit Margin (TTM),0.1809,0.31260000000000004,Profitability,0.5786948176583493
Operating Profit Margin (TTM),0.0267,0.1429,Profitability,0.18684394681595523
Net Profit Margin (TTM),0.010700000000000001,0.1072,Profitability,0.0998134328358209
Annual Dividend Yield,,0.0134,Dividend,
Dividend Change %,,0.2683,Dividend,
"Dividend Growth Rate, 3 Years",,0.0895,Dividend,
EPS Growth (MRQ),-1.7538999999999998,0.5653,Gowth rates,-3.1026003891738894
EPS Growth (TTM),-0.6541,7.5147,Gowth rates,-0.08704272958334996
Revenue Growth (MRQ),-0.026400000000000003,0.1259,Gowth rates,-0.2096902303415409
Revenue Growth (TTM),0.0968,0.20510000000000003,Gowth rates,0.4719648951730862
Return On Equity (TTM),0.0745,0.254,Effectiveness,0.2933070866141732
Return On Assets (TTM),0.0146,0.0326,Effectiveness,0.44785276073619634
Return On Investment (TTM),0.0194,0.1543,Effectiveness,0.12572909915748542
Revenue Per Employee (TTM),205860.0,403228.0,Effectiveness,0.5105300227166765
Total Debt/Total Capital (MRQ),0.7438,0.4794,Financial strength,1.5515227367542763
Change in Debt/Total Capital Quarter over Quarter,0.0012,0.0029,Financial strength,0.41379310344827586
Quick Ratio (MRQ),1.22,1.11,Financial strength,1.099099099099099
Interest Coverage (MRQ),3.83,10.87,Financial strength,0.3523459061637535
